ID,FullDate,Date,Start(ET),Hour,Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts,Home Covered,Capacity,New Stadium Season,Years in Stadium,Temperature.x,Dome,City Played,Weather Station,Key.x,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text
MIA2013,29-Dec-13,29-Dec-13,1:00,13,MIA,-7,NYJ,27,U,41,2013,Week 17,70296,MIA,-7,7,PIT,7,20,Y,75540,0,26,79,0,Florida,KFXE,KFXE4163713,78,83,86,96,9,14,82,10,61,0,0,PC,Partly Cloudy,13,81,87,73,77,76,190,14,100,20,OVC,10,309,59,368,588,647,840,0,0,0,29.98,1015.2,45,CLR,Mostly Clear
MIA2019,29-Sep-19,29-Sep-19,1:00,13,LAC,-14.5,MIA,40,U,44,2019,Week 4,64278,MIA,14.5,-14.5,LAC,10,30,Y,64767,0,32,42,0,Florida,KFXE,KFXE4373713,82,89,67,79,12,20,29,10,494,0,0,PC,Partly Cloudy,20,86,92,71,61,76,60,20,40,47,SCT,10,679,85,764,849,934,1213,0,0,0,30.03,1017.2,44,PC,Partly Cloudy
MIA2017,31-Dec-17,31-Dec-17,4:25,16,BUF,-2.5,MIA,38,U,41.5,2017,Week 17,65571,MIA,2.5,-2.5,PIT,16,22,Y,64767,0,30,27,0,Florida,KFXE,KFXE4310016,61,72,85,100,3,10,7,9.8,564,0,0,CLR,Fair,13,70,70,60,71,64,40,8,20,35,SCT,10,191,21,212,212,233,303,0,0,0,30.1,1019.5,44,PC,Partly Cloudy
GBP2014,2-Oct-14,2-Oct-14,8:25,20,GB,-9.5,MIN,52,O,46.5,2014,Week 5,78054,GB,-9.5,9.5,MIN,42,10,Y,80750,0,57,63,0,Green Bay,KGRB,KGRB4191420,62,67,91,97,4,10,95,5.3,35,0.2,0,MC,Overcast,696,63,63,62,97,62,150,7,100,7,OVC,3,0,0,0,0,0,0,0,0,0,29.64,1003.8,18,RAIN,Light Rain
GBP2017,3-Dec-17,3-Dec-17,1:00,13,GB,-3,TB,46,O,45,2017,Week 13,77684,GB,-3,3,TB,26,20,Y,81441,0,60,65,0,Green Bay,KGRB,KGRB4307213,37,50,76,100,5,12,61,9.9,120,0,0,MC,Overcast,696,47,45,32,56,41,180,5,100,301,OVC,10,130,26,156,259,285,371,0,0,0,30.1,1020,50,PC,High Overcast
GBP2015,3-Jan-16,3-Jan-16,8:30,20,GB,-3,MIN,33,U,44,2015,Week 17,78412,GB,-3,3,MIN,13,20,Y,81435,0,58,68,0,Green Bay,KGRB,KGRB4237220,26,30,71,78,10,15,89,9.7,0,0,0,MC,Overcast,696,23,14,16,74,21,270,8,100,80,OVC,10,0,0,0,0,0,0,0,0,0,30.26,1024.8,40,MC,Overcast
GBP2016,4-Dec-16,4-Dec-16,1:00,13,GB,-7,HOU,34,U,44.5,2016,Week 13,77867,GB,-7,7,HOU,21,13,Y,81435,0,59,31,0,Green Bay,KGRB,KGRB4270813,32,34,91,100,6,10,100,4.9,0,0.32,3.7,SNOW,Light Snow,696,32,26,32,100,32,170,7,100,14,OVC,0.8,128,26,154,256,282,365,99,0.04,0.5,30.01,1016.1,9,SNOW,Light Snow
GBP2013,4-Nov-13,4-Nov-13,8:40,20,GB,-10,CHI,47,U,51,2013,Week 9,78122,GB,-10,10,CHI,20,27,N,80750,0,56,49,0,Green Bay,KGRB,KGRB4158220,48,52,78,89,16,25,81,9.7,137,0,0,CLR,Fair,696,48,45,43,83,46,190,7,100,26,OVC,6,0,0,0,0,0,0,0,0,0,30.1,1019.3,18,RAIN,Light Rain
GBP2016,6-Nov-16,6-Nov-16,4:25,16,GB,-7.5,IND,57,O,52,2016,Week 9,78437,GB,-7.5,7.5,IND,26,31,N,81435,0,59,67,0,Green Bay,KGRB,KGRB4268016,53,69,84,100,3,8,0,7.1,597,0,0,CLR,Fair,696,67,67,53,61,59,200,5,0,201,CLR,10,13,1,14,13,14,19,0,0,0,30.25,1024.3,46,CLR,Fair
GBP2017,6-Nov-17,6-Nov-17,8:30,20,DET,-2.5,GB,47,O,43,2017,Week 9,77575,GB,2.5,-2.5,DET,17,30,Y,81441,0,60,38,0,Green Bay,KGRB,KGRB4304520,34,40,66,78,8,13,55,10,504,0,0,MC,Overcast,696,34,29,25,70,31,290,6,100,100,OVC,10,0,0,0,0,0,0,0,0,0,30.29,1026.6,40,MC,Overcast
GBP2013,6-Oct-13,6-Oct-13,1:00,13,GB,-10,DET,31,U,53.5,2013,Week 5,78200,GB,-10,10,DET,22,9,Y,80750,0,56,61,0,Green Bay,KGRB,KGRB4155313,56,64,74,96,9,15,58,9.8,491,0.02,0,CLR,Fair,696,61,59,40,46,51,250,14,0,201,CLR,10,532,53,585,532,585,760,0,0,0,29.66,1004.5,46,CLR,Fair
GBP2013,8-Dec-13,8-Dec-13,1:00,13,GB,-3.5,ATL,43,U,47,2013,Week 14,77550,GB,-3.5,3.5,ATL,22,21,N,80750,0,56,9,0,Green Bay,KGRB,KGRB4161613,9,14,77,88,8,14,93,4.6,0,0.13,2.2,SNOW,Light Snow,696,10,-3,5,80,9,40,10,100,35,OVC,3,126,25,152,253,278,361,0,0,0,30.4,1029.5,9,SNOW,Light Snow
GBP2014,8-Dec-14,8-Dec-14,8:30,20,GB,-13.5,ATL,80,O,55,2014,Week 14,77512,GB,-13.5,13.5,ATL,43,37,N,80750,0,57,32,0,Green Bay,KGRB,KGRB4198120,33,35,91,97,7,13,100,3.8,0,0.25,2.1,MC,Overcast,696,33,28,32,96,33,310,6,100,6,OVC,5,0,0,0,0,0,0,0,0,0,30.03,1017.9,44,PC,Partly Cloudy
GBP2019,8-Dec-19,8-Dec-19,1:00,13,GB,-9,WAS,35,O,46,2019,Week 14,77296,GB,-9,9,LAR,20,15,N,81441,0,62,43,0,Green Bay,KGRB,KGRB4380713,34,39,77,93,9,21,16,8.6,502,0,0,CLR,Fair,682,37,31,30,75,35,210,9,0,193,CLR,10,252,25,277,252,277,359,0,0,0,29.75,1008.1,46,CLR,Fair
GBP2014,9-Nov-14,9-Nov-14,8:30,20,GB,-9.5,CHI,69,O,54,2014,Week 10,78292,GB,-9.5,9.5,CHI,55,14,Y,80750,0,57,32,0,Green Bay,KGRB,KGRB4195220,34,38,88,97,8,12,87,7.8,67,0.11,0.3,SNOW,Light Snow,696,32,27,29,88,31,330,5,64,301,OVC,10,0,0,0,0,0,0,0,0,0,29.85,1010.7,46,CLR,Fair
GBP2016,9-Oct-16,9-Oct-16,8:30,20,GB,-7,NYG,39,U,50,2016,Week 5,78401,GB,-7,7,NYG,23,16,N,81435,0,59,48,0,Green Bay,KGRB,KGRB4265220,47,58,81,100,6,8,10,10,581,0,0,CLR,Fair,696,47,45,43,86,45,90,5,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.38,1028.8,46,CLR,Fair
GBP2013,10-Nov-13,10-Nov-13,1:00,13,PHI,-1,GB,40,U,47,2013,Week 10,78011,GB,1,-1,PHI,13,27,Y,80750,0,56,46,0,Green Bay,KGRB,KGRB4158813,42,47,64,74,11,17,66,10,391,0,0,MC,Overcast,696,46,41,29,51,39,250,10,20,43,SCT,10,299,33,332,332,365,474,0,0,0,30.24,1024.2,44,PC,Partly Cloudy
GBP2019,10-Nov-19,10-Nov-19,1:00,13,GB,-5.5,CAR,40,O,56,2019,Week 10,78090,GB,-5.5,5.5,WAS,24,16,Y,81441,0,62,25,0,Green Bay,KGRB,KGRB4377913,31,36,75,89,9,16,99,8.6,0,0.04,1.1,MC,Overcast,682,34,27,21,59,29,20,9,100,36,OVC,10,166,33,199,332,365,474,0,0,0,30.06,1018.6,40,MC,Overcast
GBP2017,10-Sep-17,10-Sep-17,4:25,16,GB,-2.5,SEA,26,U,49.5,2017,Week 1,78381,GB,-2.5,2.5,SEA,17,9,Y,81441,0,60,42,0,Green Bay,KGRB,KGRB4298816,56,71,81,100,6,15,0,9.8,765,0,0,CLR,Fair,696,70,70,52,53,60,160,9,0,400,CLR,10,279,28,307,279,307,399,0,0,0,30.36,1028.4,46,CLR,Fair
