,Key2,Var.2,Date,Date2,Date3,roadteam,roadscore,hometeam,homescore,MLResult,ML,total,oddsadj,goalie,opp goalie,ATT,Fights,Weather Station,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Daily Latitude.x,Daily Longitude.x,Daily Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction.x,Daily High Wind Gust,Daily Cloud Cover percent.x,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall.x,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predominate Weather,Daily Weather Code,Daily Weather Text.x,Weather Station Code.y,Data Type.y,Time Zone.y,Hour Latitude.y,Hour Longitude.y,Hour Elevation.y,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction.y,Hour Wind Speed,Hour Cloud Cover percent.y,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall.y,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text.y,Data Date_1
11,CYED 02/Apr/2016 07,11,4/2/16,2-Apr-16,2-Apr-16, Flames,5, Oilers,0,L,-144,5.5,-116,Cam Talbot,Joni Ortio,16839,0,CYED,CYED,O,2-Apr-16,MST,53.667,-113.467,2244,70,41,55,68,35,34,25,30,60,26,40,51,36,44,24,12,279,31,29,9,3097,439,3537,411,790,0.02,0,29.82,29.59,29.68,1010.8,1002.8,1006.2,45,CLR,Mostly Clear,CYED,O,MST,53.667,-113.467,2244,45,40,28,53,38,250,9,5,84,FEW,9,40,4,44,41,45,59,0,0,0,29.72,1008,45,CLR,Mostly Clear,2-Apr-16
12,CYED 02/Dec/2015 07,12,12/2/15,2-Dec-15,2-Dec-15, Bruins,2, Oilers,3,W,127,5.5,-128,Anders Nilsson,Tuukka Rask,16839,0,CYED,CYED,O,2-Dec-15,MST,53.667,-113.467,2244,45,27,33,45,16,25,14,19,69,46,57,37,22,28,12,8,221,12,15,12.5,566,58,624,385,467,0,0,29.79,29.6,29.7,1011.6,1005.7,1008.9,45,CLR,Mostly Clear,CYED,O,MST,53.667,-113.467,2244,28,23,18,64,25,210,5,5,94,FEW,9,0,0,0,0,0,0,0,0,0,29.61,1005.8,45,CLR,Mostly Clear,2-Dec-15
13,CYED 02/Feb/2016 07,13,2/2/16,2-Feb-16,2-Feb-16, Blue Jackets,1, Oilers,5,W,-134,5.5,111,Cam Talbot,Joonas Korpisalo,16839,0,CYED,CYED,O,2-Feb-16,MST,53.667,-113.467,2244,29,17,23,29,10,20,9,17,93,59,78,25,18,21,10,7,266,10,47,9.8,1053,112,1165,458,539,0,0,30.01,29.94,29.98,1020.2,1017.9,1019,45,CLR,Mostly Clear,CYED,O,MST,53.667,-113.467,2244,19,11,18,93,19,250,6,100,93,OVC,8,0,0,0,0,0,0,0,0,0,29.96,1018.5,40,MC,Overcast,2-Feb-16
14,CYED 02/Jan/2016 07,14,1/2/16,2-Jan-16,2-Jan-16, Coyotes,3, Oilers,4,W,-134,5.5,103,Cam Talbot,Louis Domingue,16839,0,CYED,CYED,O,2-Jan-16,MST,53.667,-113.467,2244,28,3,18,28,-5,9,-2,6,78,43,58,23,4,15,9,5,234,9,4,9,517,53,570,438,454,0,0,30.22,30.1,30.18,1027.7,1024.1,1026.1,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,18,7,7,62,15,230,9,5,199,CLR,9,0,0,0,0,0,0,0,0,0,30.22,1027.7,46,CLR,Fair,2-Jan-16
15,CYED 02/Jan/2018 07,15,1/2/18,2-Jan-18,2-Jan-18, Kings,5, Oilers,0,L,-130,5.5,-130,Cam Talbot,Jonathan Quick,18347,1,CYED,CYED,O,2-Jan-18,MST,53.667,-113.467,2244,35,18,27,34,8,25,12,19,80,65,74,31,17,24,12,8,258,12,36,9.1,395,53,448,260,454,0,0,30.24,30.12,30.19,1028.2,1023.3,1026.4,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,27,18,19,74,24,280,9,5,400,CLR,9,0,0,0,0,0,0,0,0,0,30.22,1027.7,46,CLR,Fair,2-Jan-18
16,CYED 02/Nov/2013 07,16,11/2/13,2-Nov-13,2-Nov-13, Red Wings,5, Oilers,0,,NA,,NA,,,16839,#N/A,CYED,CYED,O,2-Nov-13,MST,53.667,-113.467,2244,39,30,33,38,21,33,26,29,100,65,84,34,28,32,18,8,28,22,95,5.7,863,132,996,48,560,0.04,0,29.91,29.71,29.79,1014.9,1008.8,1011.2,40,MC,Overcast,CYED,O,MST,53.667,-113.467,2244,31,31,26,81,29,0,0,100,76,OVC,9,0,0,0,0,0,0,0,0,0,29.84,1013,40,MC,Overcast,2-Nov-13
17,CYED 03/Dec/2013 07,17,12/3/13,3-Dec-13,3-Dec-13, Coyotes,6, Oilers,2,,NA,,NA,,,16839,#N/A,CYED,CYED,O,3-Dec-13,MST,53.667,-113.467,2244,7,-2,3,8,-17,0,-8,-3,76,69,74,6,-3,2,14,9,303,18,97,6.1,303,58,362,21,464,0.01,0.2,30.41,30.35,30.38,1035.8,1033.6,1034.6,40,MC,Overcast,CYED,O,MST,53.667,-113.467,2244,-2,-17,-8,74,-3,290,9,100,65,OVC,9,0,0,0,0,0,0,0,0,0,30.41,1035.6,40,MC,Overcast,3-Dec-13
18,CYED 03/Dec/2016 07,18,12/3/16,3-Dec-16,3-Dec-16, Ducks,2, Oilers,3,W,-110,5.5,-146,Cam Talbot,John Gibson,18347,1,CYED,CYED,O,3-Dec-16,MST,53.667,-113.467,2244,38,22,29,37,13,25,12,20,93,56,73,32,21,26,13,8,250,13,73,8.6,484,57,541,259,464,0.02,0.2,29.7,29.64,29.67,1009,1007.2,1008.1,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,25,15,21,86,24,250,9,100,50,OVC,9,0,0,0,0,0,0,0,0,0,29.68,1008.3,40,MC,Overcast,3-Dec-16
19,CYED 03/Mar/2015 07,19,3/3/15,3-Mar-15,3-Mar-15, Kings,5, Oilers,2,,NA,,NA,,,16839,0,CYED,CYED,O,3-Mar-15,MST,53.667,-113.467,2244,11,-6,3,10,-21,-8,-18,-13,54,40,47,7,-5,1,17,10,304,20,2,13,2394,242,2636,647,661,0,0,30.29,30.13,30.19,1031.3,1026.1,1028.1,47,CLR,Clear,CYED,O,MST,53.667,-113.467,2244,-2,-20,-17,49,-4,290,12,4,195,CLR,9,0,0,0,0,0,0,0,0,0,30.19,1028.5,46,CLR,Fair,3-Mar-15
20,CYED 03/Mar/2018 07,20,3/3/18,3-Mar-18,3-Mar-18, Rangers,3, Oilers,2,L,-189,6.5,-127,Cam Talbot,Alexandar Georgiev,18347,0,CYED,CYED,O,3-Mar-18,MST,53.667,-113.467,2244,22,13,17,22,0,17,10,13,90,77,84,20,13,15,13,6,49,13,100,1.7,1206,242,1450,0,661,0.23,4.5,30.06,30,30.02,1023.9,1020.5,1021.8,9,SNOW,Light Snow,CYED,O,MST,53.667,-113.467,2244,14,4,11,89,13,80,7,100,19,VV,1,0,0,0,0,0,0,99,0.01,0.2,30.01,1021.9,9,SNOW,Light Snow,3-Mar-18
