Key2,﻿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Hour Weather Station Code,Hour Data Type,Hour Time Zone,Hour Latitude,Hour Longitude,Hour Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Hour Data Date_1,Hour Data Date_2
CYQG 11/Feb/2015 20,DET42046,2/11/2015,2,11,2015,11-Feb-15,2015,7:30p,20,SAS,104,DET,87,0,0,"14,617",,Feb,N,-6.5,6.5,U,194.5,Wed,DET2015,22076,0,26,Detroit,CYQG,CYQG42046,25,32,87,93,11,20,94,5.4,0,0.05,0.6,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,30,18,25,80,28,300,20,100,25,OVC,7,0,0,0,0,0,0,99,0.01,0.2,29.9,1013.5,9,SNOW,Light Snow,11-Feb-15,20
CYQG 11/Jan/2014 20,DET41650,1/11/2014,1,11,2014,11-Jan-14,2014,7:30p,20,PHX,108,DET,110,0,0,"15,224",,Jan,Y,1.5,-1.5,O,206,Sat,DET2014,22076,0,25,Detroit,CYQG,CYQG41650,39,46,94,100,14,25,100,6.6,0,0.26,0,RAIN,Light Rain,CYQG,O,EST,42.276,-82.956,623,36,25,32,87,34,280,18,100,14,OVC,12,0,0,0,0,0,0,0,0.02,0,29.52,1000.3,18,RAIN,Light Rain,11-Jan-14,20
CYQG 11/Mar/2014 20,DET41709,3/11/2014,3,11,2014,11-Mar-14,2014,7:30p,20,SAC,89,DET,99,0,0,"15,234",,Mar,Y,2.5,-2.5,U,214.5,Tue,DET2014,22076,0,25,Detroit,CYQG,CYQG41709,42,53,86,100,7,24,95,7.6,4,0.13,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,43,40,41,93,42,330,5,100,33,OVC,6,0,0,0,0,0,0,99,0.02,0,29.74,1007.7,18,RAIN,Light Rain,11-Mar-14,20
CYQG 11/Mar/2017 17,DET42805,3/11/2017,3,11,2017,11-Mar-17,2017,5:00p,17,NYK,92,DET,112,0,0,"19,607",,Mar,Y,6,-6,U,212.5,Sat,DET2017,22076,0,28,Detroit,CYQG,CYQG42805,22,31,44,57,12,18,37,15,603,0,0,CLR,Fair,CYQG,O,EST,42.276,-82.956,623,28,19,3,34,22,300,10,10,250,FEW,15,159,17,176,166,183,237,0,0,0,30.34,1028.7,45,CLR,Mostly Clear,11-Mar-17,17
CYQG 12/Apr/2015 16,DET42106,4/12/2015,4,12,2015,12-Apr-15,2015,3:30p,16,CHA,77,DET,116,0,0,"17,297",,Apr,Y,8,-8,P,193,Sun,DET2015,22076,0,26,Detroit,CYQG,CYQG42106,51,66,63,93,8,15,52,14.9,328,0,0,PC,High Clouds,CYQG,O,EST,42.276,-82.956,623,61,59,39,45,50,190,12,70,260,BKN,15,377,48,425,477,525,682,0,0,0,30.15,1021.4,52,PC,High Clouds,12-Apr-15,16
CYQG 12/Apr/2016 20,DET42472,4/12/2016,4,12,2016,12-Apr-16,2016,7:30p,20,MIA,99,DET,93,0,0,"18,575",,Apr,N,-2,2,U,199.5,Tue,DET2016,22076,0,27,Detroit,CYQG,CYQG42472,39,50,60,87,9,16,19,15,544,0,0,CLR,Fair,CYQG,O,EST,42.276,-82.956,623,39,35,34,81,37,170,6,0,182,SKC,15,0,0,0,0,0,0,0,0,0,30.35,1028.7,46,CLR,Fair,12-Apr-16,20
CYQG 12/Dec/2015 20,DET42350,12/12/2015,12,12,2015,12-Dec-15,2016,7:30p,20,IND,96,DET,118,1,1,"14,858",,Dec,Y,1.5,-1.5,O,204,Sat,DET2016,22076,0,27,Detroit,CYQG,CYQG42350,52,62,92,100,4,8,98,7.9,36,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,52,52,52,100,52,150,3,100,270,OVC,7,0,0,0,0,0,0,0,0,0,30.06,1018.2,50,PC,High Overcast,12-Dec-15,20
CYQG 12/Dec/2017 19,DET43081,12/12/2017,12,12,2017,12-Dec-17,2018,7:00p,19,DEN,103,DET,84,0,0,"15,480",,Dec,N,6.5,-6.5,U,210.5,Tue,DET2018,20332,0,0,Detroit,CYQG,CYQG43081,20,31,65,100,16,22,65,10.6,233,0.37,3.9,SNOW,Moderate Snow,CYQG,O,EST,42.276,-82.956,623,16,1,1,53,13,310,15,5,55,FEW,12,0,0,0,0,0,0,99,0.03,0.4,29.88,1013,10,SNOW,Moderate Snow,12-Dec-17,19
CYQG 12/Feb/2014 20,DET41682,2/12/2014,2,12,2014,12-Feb-14,2014,7:30p,20,CLE,93,DET,89,0,0,"13,184",,Feb,N,8,-8,U,209,Wed,DET2014,22076,0,25,Detroit,CYQG,CYQG41682,6,18,77,92,2,6,46,11.6,459,0,0,CLR,Mostly Clear,CYQG,O,EST,42.276,-82.956,623,9,0,7,92,8,140,5,100,270,BKN,15,0,0,0,0,0,0,0,0,0,30.15,1022.7,42,MC,Mostly Cloudy,12-Feb-14,20
CYQG 12/Feb/2018 19,DET43143,2/12/2018,2,12,2018,12-Feb-18,2018,7:00p,19,NOP,118,DET,103,0,0,"14,453",,Feb,N,3.5,-3.5,U,221.5,Mon,DET2018,20332,0,0,Detroit,CYQG,CYQG43143,19,30,72,86,7,10,8,14.2,594,0,0,CLR,Mostly Clear,CYQG,O,EST,42.276,-82.956,623,18,18,10,73,16,120,3,5,250,FEW,12,0,0,0,0,0,0,0,0,0,30.73,1042,45,CLR,Mostly Clear,12-Feb-18,19
CYQG 12/Jan/2016 20,DET42381,1/12/2016,1,12,2016,12-Jan-16,2016,7:30p,20,SAS,109,DET,99,0,0,"14,273",,Jan,N,-6.5,6.5,O,196,Tue,DET2016,22076,0,27,Detroit,CYQG,CYQG42381,21,28,76,93,20,26,83,9.1,150,0.24,3.1,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,19,3,12,73,17,280,21,100,32,OVC,12,0,0,0,0,0,0,0,0,0,29.94,1015.2,8,SHWR,Snow Showers,12-Jan-16,20
