date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Sunday 01/01/12,Buffalo,W 49-21,Week 17,"W
                  -10","O
              49.5",New England,W,49,21,0,W,1,0,-10,O,1,0,49.5,70,28,Sunday,1/1/12,2011,Week 17New England2011,68756
Sunday 12/30/12,Miami,W 28-0,Week 17,"W
                  -11.5","U
              48",New England,W,28,0,0,W,1,0,-11.5,U,0,1,48,28,28,Sunday,12/30/12,2012,Week 17New England2012,68756
Sunday 12/29/13,Buffalo,W 34-20,Week 17,"W
                  -7.5","O
              46.5",New England,W,34,20,0,W,1,0,-7.5,O,1,0,46.5,54,14,Sunday,12/29/13,2013,Week 17New England2013,68756
Sunday 12/28/14,Buffalo,L 9-17,Week 17,"L
                  -4","U
              43.5",New England,L,9,17,0,L,0,1,-4,U,0,1,43.5,26,-8,Sunday,12/28/14,2014,Week 17New England2014,68756
Sunday 09/18/11,L.A. Chargers,W 35-21,Week 2,"W
                  -6.5","O
              53.5",New England,W,35,21,0,W,1,0,-6.5,O,1,0,53.5,56,14,Sunday,9/18/11,2011,Week 2New England2011,68756
Sunday 09/16/12,Arizona,L 18-20,Week 2,"L
                  -13","U
              47",New England,L,18,20,0,L,0,1,-13,U,0,1,47,38,-2,Sunday,9/16/12,2012,Week 2New England2012,68756
Thursday 09/12/13,N.Y. Jets,W 13-10,Week 2,"L
                  -10.5","U
              43",New England,W,13,10,0,L,0,1,-10.5,U,0,1,43,23,3,Thursday,9/12/13,2013,Week 2New England2013,68756
Sunday 09/27/09,Atlanta,W 26-10,Week 3,"W
                  -4.5","U
              45.5",New England,W,26,10,0,W,1,0,-4.5,U,0,1,45.5,36,16,Sunday,9/27/09,2009,Week 3New England2009,68756
Sunday 09/26/10,Buffalo,W 38-30,Week 3,"L
                  -14","O
              42.5",New England,W,38,30,0,L,0,1,-14,O,1,0,42.5,68,8,Sunday,9/26/10,2010,Week 3New England2010,68756
Sunday 09/22/13,Tampa Bay,W 23-3,Week 3,"W
                  -7.5","U
              44.5",New England,W,23,3,0,W,1,0,-7.5,U,0,1,44.5,26,20,Sunday,9/22/13,2013,Week 3New England2013,68756
Sunday 09/21/14,Oakland,W 16-9,Week 3,"L
                  -14","U
              47.5",New England,W,16,9,0,L,0,1,-14,U,0,1,47.5,25,7,Sunday,9/21/14,2014,Week 3New England2014,68756
Sunday 10/04/09,Baltimore,W 27-21,Week 4,"W
                  -1","O
              45.5",New England,W,27,21,0,W,1,0,-1,O,1,0,45.5,48,6,Sunday,10/4/09,2009,Week 4New England2009,68756
Sunday 10/09/11,N.Y. Jets,W 30-21,Week 5,"W
                  -7.5","O
              50.5",New England,W,30,21,0,W,1,0,-7.5,O,1,0,50.5,51,9,Sunday,10/9/11,2011,Week 5New England2011,68756
Sunday 10/07/12,Denver,W 31-21,Week 5,"W
                  -5.5","O
              50.5",New England,W,31,21,0,W,1,0,-5.5,O,1,0,50.5,52,10,Sunday,10/7/12,2012,Week 5New England2012,68756
Sunday 10/05/14,Cincinnati,W 43-17,Week 5,"W
                  2.5","O
              46",New England,W,43,17,0,W,1,0,2.5,O,1,0,46,60,26,Sunday,10/5/14,2014,Week 5New England2014,68756
Sunday 10/18/09,Tennessee,W 59-0,Week 6,"W
                  -9.5","O
              38",New England,W,59,0,0,W,1,0,-9.5,O,1,0,38,59,59,Sunday,10/18/09,2009,Week 6New England2009,68756
Sunday 10/17/10,Baltimore,"W 23-20
           x",Week 6,"P
                  -3","U
              44.5",New England,W,23,20,0,P,0,0,-3,U,0,1,44.5,43,3,Sunday,10/17/10,2010,Week 6New England2010,68756
Sunday 10/16/11,Dallas,W 20-16,Week 6,"L
                  -6.5","U
              54.5",New England,W,20,16,0,L,0,1,-6.5,U,0,1,54.5,36,4,Sunday,10/16/11,2011,Week 6New England2011,68756
Sunday 10/13/13,New Orleans,W 30-27,Week 6,"W
                  -2.5","O
              51",New England,W,30,27,0,W,1,0,-2.5,O,1,0,51,57,3,Sunday,10/13/13,2013,Week 6New England2013,68756
Thursday 10/16/14,N.Y. Jets,W 27-25,Week 7,"L
                  -9.5","O
              44.5",New England,W,27,25,0,L,0,1,-9.5,O,1,0,44.5,52,2,Thursday,10/16/14,2014,Week 7New England2014,68756
Sunday 10/31/10,Minnesota,W 28-18,Week 8,"W
                  -5","O
              44.5",New England,W,28,18,0,W,1,0,-5,O,1,0,44.5,46,10,Sunday,10/31/10,2010,Week 8New England2010,68756
Sunday 10/27/13,Miami,W 27-17,Week 8,"W
                  -6.5","U
              46.5",New England,W,27,17,0,W,1,0,-6.5,U,0,1,46.5,44,10,Sunday,10/27/13,2013,Week 8New England2013,68756
Sunday 10/26/14,Chicago,W 51-23,Week 8,"W
                  -5.5","O
              51.5",New England,W,51,23,0,W,1,0,-5.5,O,1,0,51.5,74,28,Sunday,10/26/14,2014,Week 8New England2014,68756
Sunday 11/08/09,Miami,W 27-17,Week 9,"L
                  -10.5","U
              47",New England,W,27,17,0,L,0,1,-10.5,U,0,1,47,44,10,Sunday,11/8/09,2009,Week 9New England2009,68756
Sunday 11/06/11,N.Y. Giants,L 20-24,Week 9,"L
                  -9","U
              51",New England,L,20,24,0,L,0,1,-9,U,0,1,51,44,-4,Sunday,11/6/11,2011,Week 9New England2011,68756
Sunday 10/07/12,@ Kansas City,W 9-6,Week 5,"L
                  -6","U
              46.5",Baltimore,W,9,6,0,L,0,1,-6,U,0,1,46.5,15,3,Sunday,10/7/12,2012,Week 5Baltimore2012,68803
Sunday 12/07/14,@ L.A. Chargers,W 23-14,Week 14,"W
                  -4","U
              53",New England,W,23,14,0,W,1,0,-4,U,0,1,53,37,9,Sunday,12/7/14,2014,Week 14New England2014,68815
Sunday 10/24/10,@ L.A. Chargers,W 23-20,Week 7,"W
                  2.5","U
              48.5",New England,W,23,20,0,W,1,0,2.5,U,0,1,48.5,43,3,Sunday,10/24/10,2010,Week 7New England2010,68836
Sunday 10/21/12,Tennessee,L 34-35,Week 7,"L
                  -4","O
              46.5",Buffalo,L,34,35,0,L,0,1,-4,O,1,0,46.5,69,-1,Sunday,10/21/12,2012,Week 7Buffalo2012,68836
Thursday 12/15/11,@ Atlanta,L 14-41,Week 15,"L
                  13.5","O
              41.5",Jacksonville,L,14,41,0,L,0,1,13.5,O,1,0,41.5,55,-27,Thursday,12/15/11,2011,Week 15Jacksonville2011,68856
Sunday 09/24/17,Denver,W 26-16,Week 3,"W
                  3.5","O
              40",Buffalo,W,26,16,0,W,1,0,3.5,O,1,0,40,42,10,Sunday,9/24/17,2017,Week 3Buffalo2017,68865
Sunday 12/27/09,@ Atlanta,L 3-31,Week 16,"L
                  9","U
              40.5",Buffalo,L,3,31,0,L,0,1,9,U,0,1,40.5,34,-28,Sunday,12/27/09,2009,Week 16Buffalo2009,68887
Sunday 12/06/09,@ Kansas City,W 44-13,Week 13,"W
                  -6","O
              39",Denver,W,44,13,0,W,1,0,-6,O,1,0,39,57,31,Sunday,12/6/09,2009,Week 13Denver2009,68912
Sunday 11/05/17,@ Seattle,W 17-14,Week 9,"W
                  8","U
              44.5",Washington,W,17,14,0,W,1,0,8,U,0,1,44.5,31,3,Sunday,11/5/17,2017,Week 9Washington2017,68927
Sunday 12/13/09,New Orleans,L 23-26,Week 14,"W
                  10","U
              50.5",Atlanta,L,23,26,0,W,1,0,10,U,0,1,50.5,49,-3,Sunday,12/13/09,2009,Week 14Atlanta2009,68930
Sunday 12/20/15,@ Seattle,L 13-30,Week 15,"L
                  14.5","U
              45",Cleveland,L,13,30,0,L,0,1,14.5,U,0,1,45,43,-17,Sunday,12/20/15,2015,Week 15Cleveland2015,69002
Sunday 09/27/15,@ Seattle,L 0-26,Week 3,"L
                  16.5","U
              43.5",Chicago,L,0,26,0,L,0,1,16.5,U,0,1,43.5,26,-26,Sunday,9/27/15,2015,Week 3Chicago2015,69002
Monday 10/05/15,@ Seattle,L 10-13,Week 4,"W
                  10","U
              43",Detroit,L,10,13,0,W,1,0,10,U,0,1,43,23,-3,Monday,10/5/15,2015,Week 4Detroit2015,69005
Sunday 09/11/16,@ Seattle,L 10-12,Week 1,"W
                  10.5","U
              43.5",Miami,L,10,12,0,W,1,0,10.5,U,0,1,43.5,22,-2,Sunday,9/11/16,2016,Week 1Miami2016,69012
Sunday 09/30/18,Philadelphia,"W 26-23
           x",Week 4,"W
                  3","O
              41.5",Tennessee,W,26,23,0,W,1,0,3,O,1,0,41.5,49,3,Sunday,9/30/18,2018,Week 4Tennessee2018,69013
Sunday 12/23/18,@ Seattle,L 31-38,Week 16,"L
                  -1","O
              54.5",Kansas City,L,31,38,0,L,0,1,-1,O,1,0,54.5,69,-7,Sunday,12/23/18,2018,Week 16Kansas City2018,69067
Sunday 12/31/17,@ Seattle,W 26-24,Week 17,"W
                  8","O
              38",Arizona,W,26,24,0,W,1,0,8,O,1,0,38,50,2,Sunday,12/31/17,2017,Week 17Arizona2017,69078
Monday 11/07/16,@ Seattle,L 25-31,Week 9,"L
                  5.5","O
              43.5",Buffalo,L,25,31,0,L,0,1,5.5,O,1,0,43.5,56,-6,Monday,11/7/16,2016,Week 9Buffalo2016,69084
Monday 10/04/10,@ Miami,W 41-14,Week 4,"W
                  1","O
              48",New England,W,41,14,0,W,1,0,1,O,1,0,48,55,27,Monday,10/4/10,2010,Week 4New England2010,69090
Sunday 11/13/16,Green Bay,W 47-25,Week 10,"W
                  3","O
              48.5",Tennessee,W,47,25,0,W,1,0,3,O,1,0,48.5,72,22,Sunday,11/13/16,2016,Week 10Tennessee2016,69116
Thursday 11/15/12,Miami,W 19-14,Week 11,"W
                  -1","U
              46",Buffalo,W,19,14,0,W,1,0,-1,U,0,1,46,33,5,Thursday,11/15/12,2012,Week 11Buffalo2012,69118
Sunday 09/24/17,Seattle,W 33-27,Week 3,"W
                  -2","O
              42",Tennessee,W,33,27,0,W,1,0,-2,O,1,0,42,60,6,Sunday,9/24/17,2017,Week 3Tennessee2017,69127
Sunday 09/12/10,Oakland,W 38-13,Week 1,"W
                  -6.5","O
              39.5",Tennessee,W,38,13,0,W,1,0,-6.5,O,1,0,39.5,51,25,Sunday,9/12/10,2010,Week 1Tennessee2010,69143
Sunday 09/09/12,@ Tennessee,W 34-13,Week 1,"W
                  -4.5","U
              48",New England,W,34,13,0,W,1,0,-4.5,U,0,1,48,47,21,Sunday,9/9/12,2012,Week 1New England2012,69143
Sunday 11/10/13,@ Tennessee,W 29-27,Week 10,"W
                  11.5","O
              42",Jacksonville,W,29,27,0,W,1,0,11.5,O,1,0,42,56,2,Sunday,11/10/13,2013,Week 10Jacksonville2013,69143
Sunday 11/27/11,Tampa Bay,W 23-17,Week 12,"W
                  -3","U
              44",Tennessee,W,23,17,0,W,1,0,-3,U,0,1,44,40,6,Sunday,11/27/11,2011,Week 12Tennessee2011,69143
Sunday 12/19/10,@ Tennessee,L 17-31,Week 15,"L
                  2","O
              47.5",Houston,L,17,31,0,L,0,1,2,O,1,0,47.5,48,-14,Sunday,12/19/10,2010,Week 15Houston2010,69143
Sunday 12/15/13,Arizona,"L 34-37
           x",Week 15,"L
                  2.5","O
              43",Tennessee,L,34,37,0,L,0,1,2.5,O,1,0,43,71,-3,Sunday,12/15/13,2013,Week 15Tennessee2013,69143
Friday 12/25/09,L.A. Chargers,L 17-42,Week 16,"L
                  -3","O
              47.5",Tennessee,L,17,42,0,L,0,1,-3,O,1,0,47.5,59,-25,Friday,12/25/09,2009,Week 16Tennessee2009,69143
Sunday 12/30/12,@ Tennessee,L 20-38,Week 17,"L
                  6","O
              42",Jacksonville,L,20,38,0,L,0,1,6,O,1,0,42,58,-18,Sunday,12/30/12,2012,Week 17Jacksonville2012,69143
Sunday 12/29/13,@ Tennessee,L 10-16,Week 17,"W
                  7","U
              44.5",Houston,L,10,16,0,W,1,0,7,U,0,1,44.5,26,-6,Sunday,12/29/13,2013,Week 17Houston2013,69143
Sunday 12/28/14,@ Tennessee,W 27-10,Week 17,"W
                  -7.5","U
              46.5",Indianapolis,W,27,10,0,W,1,0,-7.5,U,0,1,46.5,37,17,Sunday,12/28/14,2014,Week 17Indianapolis2014,69143
Sunday 09/20/09,@ Tennessee,W 34-31,Week 2,"W
                  7","O
              40.5",Houston,W,34,31,0,W,1,0,7,O,1,0,40.5,65,3,Sunday,9/20/09,2009,Week 2Houston2009,69143
Sunday 09/18/11,@ Tennessee,L 13-26,Week 2,"L
                  -5.5","O
              38.5",Baltimore,L,13,26,0,L,0,1,-5.5,O,1,0,38.5,39,-13,Sunday,9/18/11,2011,Week 2Baltimore2011,69143
Sunday 09/25/11,Denver,W 17-14,Week 3,"L
                  -7","U
              42.5",Tennessee,W,17,14,0,L,0,1,-7,U,0,1,42.5,31,3,Sunday,9/25/11,2011,Week 3Tennessee2011,69143
Sunday 10/03/10,Denver,L 20-26,Week 4,"L
                  -6","O
              43.5",Tennessee,L,20,26,0,L,0,1,-6,O,1,0,43.5,46,-6,Sunday,10/3/10,2010,Week 4Tennessee2010,69143
Sunday 10/11/09,@ Tennessee,W 31-9,Week 5,"W
                  -3","U
              44",Indianapolis,W,31,9,0,W,1,0,-3,U,0,1,44,40,22,Sunday,10/11/09,2009,Week 5Indianapolis2009,69143
Thursday 10/11/12,@ Tennessee,L 23-26,Week 6,"L
                  -5.5","O
              43.5",Pittsburgh,L,23,26,0,L,0,1,-5.5,O,1,0,43.5,49,-3,Thursday,10/11/12,2012,Week 6Pittsburgh2012,69143
Sunday 10/24/10,Philadelphia,W 37-19,Week 7,"W
                  -3","O
              41",Tennessee,W,37,19,0,W,1,0,-3,O,1,0,41,56,18,Sunday,10/24/10,2010,Week 7Tennessee2010,69143
Sunday 11/01/09,@ Tennessee,L 13-30,Week 8,"L
                  3","U
              44",Jacksonville,L,13,30,0,L,0,1,3,U,0,1,44,43,-17,Sunday,11/1/09,2009,Week 8Jacksonville2009,69143
Sunday 11/11/12,@ Philadelphia,W 38-23,Week 10,"W
                  -1","O
              44",Dallas,W,38,23,0,W,1,0,-1,O,1,0,44,61,15,Sunday,11/11/12,2012,Week 10Dallas2012,69144
Sunday 11/27/11,@ Philadelphia,W 38-20,Week 12,"W
                  -3","O
              50.5",New England,W,38,20,0,W,1,0,-3,O,1,0,50.5,58,18,Sunday,11/27/11,2011,Week 12New England2011,69144
Thursday 12/02/10,@ Philadelphia,L 24-34,Week 13,"L
                  8.5","O
              51",Houston,L,24,34,0,L,0,1,8.5,O,1,0,51,58,-10,Thursday,12/2/10,2010,Week 13Houston2010,69144
Tuesday 12/28/10,Minnesota,L 14-24,Week 16,"L
                  -14","U
              44",Philadelphia,L,14,24,0,L,0,1,-14,U,0,1,44,38,-10,Tuesday,12/28/10,2010,Week 16Philadelphia2010,69144
Sunday 01/01/12,Washington,W 34-10,Week 17,"W
                  -7","P
              44",Philadelphia,W,34,10,0,W,1,0,-7,P,0,0,44,44,24,Sunday,1/1/12,2011,Week 17Philadelphia2011,69144
Sunday 09/16/12,@ Philadelphia,L 23-24,Week 2,"W
                  3","O
              46.5",Baltimore,L,23,24,0,W,1,0,3,O,1,0,46.5,47,-1,Sunday,9/16/12,2012,Week 2Baltimore2012,69144
Sunday 10/03/10,Washington,L 12-17,Week 4,"L
                  -5","U
              44",Philadelphia,L,12,17,0,L,0,1,-5,U,0,1,44,29,-5,Sunday,10/3/10,2010,Week 4Philadelphia2010,69144
Sunday 10/14/12,Detroit,"L 23-26
           x",Week 6,"L
                  -3.5","O
              47.5",Philadelphia,L,23,26,0,L,0,1,-3.5,O,1,0,47.5,49,-3,Sunday,10/14/12,2012,Week 6Philadelphia2012,69144
Sunday 10/20/13,@ Philadelphia,W 17-3,Week 7,"W
                  3","U
              55",Dallas,W,17,3,0,W,1,0,3,U,0,1,55,20,14,Sunday,10/20/13,2013,Week 7Dallas2013,69144
Sunday 11/07/10,@ Philadelphia,L 24-26,Week 9,"W
                  3.5","O
              46.5",Indianapolis,L,24,26,0,W,1,0,3.5,O,1,0,46.5,50,-2,Sunday,11/7/10,2010,Week 9Indianapolis2010,69144
Sunday 10/03/10,N.Y. Jets,L 14-38,Week 4,"L
                  5.5","O
              36.5",Buffalo,L,14,38,0,L,0,1,5.5,O,1,0,36.5,52,-24,Sunday,10/3/10,2010,Week 4Buffalo2010,69262
Sunday 09/12/10,Miami,L 10-15,Week 1,"L
                  3","U
              39.5",Buffalo,L,10,15,0,L,0,1,3,U,0,1,39.5,25,-5,Sunday,9/12/10,2010,Week 1Buffalo2010,69295
Sunday 09/20/15,@ Philadelphia,W 20-10,Week 2,"W
                  7","U
              53.5",Dallas,W,20,10,0,W,1,0,7,U,0,1,53.5,30,10,Sunday,9/20/15,2015,Week 2Dallas2015,69296
Sunday 09/23/12,@ Cleveland,W 24-14,Week 3,"W
                  -2.5","U
              45",Buffalo,W,24,14,0,W,1,0,-2.5,U,0,1,45,38,10,Sunday,9/23/12,2012,Week 3Buffalo2012,69353
Sunday 11/11/18,@ Tennessee,L 10-34,Week 10,"L
                  -6.5","U
              47",New England,L,10,34,0,L,0,1,-6.5,U,0,1,47,44,-24,Sunday,11/11/18,2018,Week 10New England2018,69363
Sunday 09/16/12,Kansas City,W 35-17,Week 2,"W
                  -3","O
              45",Buffalo,W,35,17,0,W,1,0,-3,O,1,0,45,52,18,Sunday,9/16/12,2012,Week 2Buffalo2012,69402
Sunday 09/08/13,@ Buffalo,W 23-21,Week 1,"L
                  -10","U
              50.5",New England,W,23,21,0,L,0,1,-10,U,0,1,50.5,44,2,Sunday,9/8/13,2013,Week 1New England2013,69519
Sunday 10/09/11,@ Atlanta,W 25-14,Week 5,"W
                  -6","U
              53.5",Green Bay,W,25,14,0,W,1,0,-6,U,0,1,53.5,39,11,Sunday,10/9/11,2011,Week 5Green Bay2011,69576
Sunday 10/18/15,Cincinnati,L 21-34,Week 6,"L
                  3","O
              42.5",Buffalo,L,21,34,0,L,0,1,3,O,1,0,42.5,55,-13,Sunday,10/18/15,2015,Week 6Buffalo2015,69593
Sunday 09/11/16,@ Philadelphia,L 10-29,Week 1,"L
                  4","U
              41.5",Cleveland,L,10,29,0,L,0,1,4,U,0,1,41.5,39,-19,Sunday,9/11/16,2016,Week 1Cleveland2016,69596
Sunday 11/15/15,@ Philadelphia,W 20-19,Week 10,"W
                  5.5","U
              49",Miami,W,20,19,0,W,1,0,5.5,U,0,1,49,39,1,Sunday,11/15/15,2015,Week 10Miami2015,69596
Sunday 11/23/14,@ Philadelphia,L 24-43,Week 12,"L
                  11","O
              49",Tennessee,L,24,43,0,L,0,1,11,O,1,0,49,67,-19,Sunday,11/23/14,2014,Week 12Tennessee2014,69596
Sunday 12/13/15,@ Philadelphia,L 20-23,Week 14,"L
                  1","U
              48",Buffalo,L,20,23,0,L,0,1,1,U,0,1,48,43,-3,Sunday,12/13/15,2015,Week 14Buffalo2015,69596
Sunday 12/20/15,Arizona,L 17-40,Week 15,"L
                  3.5","O
              50.5",Philadelphia,L,17,40,0,L,0,1,3.5,O,1,0,50.5,57,-23,Sunday,12/20/15,2015,Week 15Philadelphia2015,69596
Sunday 12/31/17,@ Philadelphia,W 6-0,Week 17,"W
                  -3.5","U
              41",Dallas,W,6,0,0,W,1,0,-3.5,U,0,1,41,6,6,Sunday,12/31/17,2017,Week 17Dallas2017,69596
Sunday 09/25/16,@ Philadelphia,L 3-34,Week 3,"L
                  -3.5","U
              46.5",Pittsburgh,L,3,34,0,L,0,1,-3.5,U,0,1,46.5,37,-31,Sunday,9/25/16,2016,Week 3Pittsburgh2016,69596
Sunday 10/23/16,Minnesota,W 21-10,Week 7,"W
                  3","U
              39",Philadelphia,W,21,10,0,W,1,0,3,U,0,1,39,31,11,Sunday,10/23/16,2016,Week 7Philadelphia2016,69596
Sunday 10/29/17,Oakland,W 34-14,Week 8,"W
                  -2","O
              47",Buffalo,W,34,14,0,W,1,0,-2,O,1,0,47,48,20,Sunday,10/29/17,2017,Week 8Buffalo2017,69599
Sunday 11/18/12,Arizona,W 23-19,Week 11,"L
                  -9.5","U
              43",Atlanta,W,23,19,0,L,0,1,-9.5,U,0,1,43,42,4,Sunday,11/18/12,2012,Week 11Atlanta2012,69630
Sunday 11/28/10,Pittsburgh,"L 16-19
           x",Week 12,"W
                  6.5","U
              43.5",Buffalo,L,16,19,0,W,1,0,6.5,U,0,1,43.5,35,-3,Sunday,11/28/10,2010,Week 12Buffalo2010,69642
Sunday 12/11/16,Pittsburgh,L 20-27,Week 14,"L
                  1","O
              45.5",Buffalo,L,20,27,0,L,0,1,1,O,1,0,45.5,47,-7,Sunday,12/11/16,2016,Week 14Buffalo2016,69657
Thursday 09/06/18,Atlanta,W 18-12,Week 1,"W
                  -1","U
              44.5",Philadelphia,W,18,12,0,W,1,0,-1,U,0,1,44.5,30,6,Thursday,9/6/18,2018,Week 1Philadelphia2018,69696
Sunday 11/11/18,@ Philadelphia,W 27-20,Week 10,"W
                  7.5","O
              45.5",Dallas,W,27,20,0,W,1,0,7.5,O,1,0,45.5,47,7,Sunday,11/11/18,2018,Week 10Dallas2018,69696
Sunday 12/23/18,@ Philadelphia,L 30-32,Week 16,"L
                  1","O
              46.5",Houston,L,30,32,0,L,0,1,1,O,1,0,46.5,62,-2,Sunday,12/23/18,2018,Week 16Houston2018,69696
Sunday 10/21/18,Carolina,L 17-21,Week 7,"L
                  -5","U
              45",Philadelphia,L,17,21,0,L,0,1,-5,U,0,1,45,38,-4,Sunday,10/21/18,2018,Week 7Philadelphia2018,69696
Sunday 01/03/16,New Orleans,L 17-20,Week 17,"L
                  -6","U
              53.5",Atlanta,L,17,20,0,L,0,1,-6,U,0,1,53.5,37,-3,Sunday,1/3/16,2015,Week 17Atlanta2015,69699
Sunday 11/21/10,@ San Francisco,W 21-0,Week 11,"W
                  3.5","U
              41",Tampa Bay,W,21,0,0,W,1,0,3.5,U,0,1,41,21,21,Sunday,11/21/10,2010,Week 11Tampa Bay2010,69732
Monday 12/19/11,@ San Francisco,L 3-20,Week 15,"L
                  3","U
              37",Pittsburgh,L,3,20,0,L,0,1,3,U,0,1,37,23,-17,Monday,12/19/11,2011,Week 15Pittsburgh2011,69732
Monday 12/23/13,@ San Francisco,L 24-34,Week 16,"W
                  14","O
              46",Atlanta,L,24,34,0,W,1,0,14,O,1,0,46,58,-10,Monday,12/23/13,2013,Week 16Atlanta2013,69732
Sunday 09/22/13,@ San Francisco,W 27-7,Week 3,"W
                  10.5","U
              45.5",Indianapolis,W,27,7,0,W,1,0,10.5,U,0,1,45.5,34,20,Sunday,9/22/13,2013,Week 3Indianapolis2013,69732
Sunday 10/07/12,@ San Francisco,L 3-45,Week 5,"L
                  10","O
              45.5",Buffalo,L,3,45,0,L,0,1,10,O,1,0,45.5,48,-42,Sunday,10/7/12,2012,Week 5Buffalo2012,69732
Sunday 10/06/13,@ San Francisco,L 3-34,Week 5,"L
                  4","U
              43",Houston,L,3,34,0,L,0,1,4,U,0,1,43,37,-31,Sunday,10/6/13,2013,Week 5Houston2013,69732
Monday 10/12/09,N.Y. Jets,W 31-27,Week 5,"W
                  3","O
              36",Miami,W,31,27,0,W,1,0,3,O,1,0,36,58,4,Monday,10/12/09,2009,Week 5Miami2009,69767
Sunday 11/01/09,Houston,L 10-31,Week 8,"L
                  3.5","U
              42",Buffalo,L,10,31,0,L,0,1,3.5,U,0,1,42,41,-21,Sunday,11/1/09,2009,Week 8Buffalo2009,69790
Sunday 10/25/09,Green Bay,L 3-31,Week 7,"L
                  9.5","U
              41.5",Cleveland,L,3,31,0,L,0,1,9.5,U,0,1,41.5,34,-28,Sunday,10/25/09,2009,Week 7Cleveland2009,69797
Sunday 10/09/11,Philadelphia,W 31-24,Week 5,"W
                  3","O
              52.5",Buffalo,W,31,24,0,W,1,0,3,O,1,0,52.5,55,7,Sunday,10/9/11,2011,Week 5Buffalo2011,69803
Sunday 01/03/10,Indianapolis,W 30-7,Week 17,"W
                  -9","O
              32.5",Buffalo,W,30,7,0,W,1,0,-9,O,1,0,32.5,37,23,Sunday,1/3/10,2009,Week 17Buffalo2009,69848
Sunday 10/24/10,Pittsburgh,L 22-23,Week 7,"W
                  3","O
              40.5",Miami,L,22,23,0,W,1,0,3,O,1,0,40.5,45,-1,Sunday,10/24/10,2010,Week 7Miami2010,69867
Sunday 09/30/12,L.A. Chargers,L 20-37,Week 4,"L
                  1","O
              43",Kansas City,L,20,37,0,L,0,1,1,O,1,0,43,57,-17,Sunday,9/30/12,2012,Week 4Kansas City2012,69979
Sunday 12/20/09,@ Buffalo,W 17-10,Week 15,"W
                  -6.5","U
              41.5",New England,W,17,10,0,W,1,0,-6.5,U,0,1,41.5,27,7,Sunday,12/20/09,2009,Week 15New England2009,70000
Sunday 10/16/16,San Francisco,W 45-16,Week 6,"W
                  -7.5","O
              44",Buffalo,W,45,16,0,W,1,0,-7.5,O,1,0,44,61,29,Sunday,10/16/16,2016,Week 6Buffalo2016,70003
Sunday 11/21/10,Seattle,W 34-19,Week 11,"W
                  -11","O
              44.5",New Orleans,W,34,19,0,W,1,0,-11,O,1,0,44.5,53,15,Sunday,11/21/10,2010,Week 11New Orleans2010,70015
Sunday 12/16/18,Tampa Bay,W 20-12,Week 15,"L
                  -8.5","U
              45",Baltimore,W,20,12,0,L,0,1,-8.5,U,0,1,45,32,8,Sunday,12/16/18,2018,Week 15Baltimore2018,70031
Sunday 11/23/14,@ Atlanta,W 26-24,Week 12,"W
                  3","O
              48.5",Cleveland,W,26,24,0,W,1,0,3,O,1,0,48.5,50,2,Sunday,11/23/14,2014,Week 12Cleveland2014,70046
Sunday 12/15/13,@ Atlanta,L 26-27,Week 15,"W
                  5.5","O
              50",Washington,L,26,27,0,W,1,0,5.5,O,1,0,50,53,-1,Sunday,12/15/13,2013,Week 15Washington2013,70069
Sunday 11/18/18,Cincinnati,W 24-21,Week 11,"L
                  -6.5","O
              44",Baltimore,W,24,21,0,L,0,1,-6.5,O,1,0,44,45,3,Sunday,11/18/18,2018,Week 11Baltimore2018,70077
Monday 11/02/09,@ New Orleans,L 27-35,Week 8,"W
                  11","O
              56",Atlanta,L,27,35,0,W,1,0,11,O,1,0,56,62,-8,Monday,11/2/09,2009,Week 8Atlanta2009,70088
Sunday 12/06/09,@ Miami,L 21-22,Week 13,"L
                  -4.5","U
              46",New England,L,21,22,0,L,0,1,-4.5,U,0,1,46,43,-1,Sunday,12/6/09,2009,Week 13New England2009,70102
Monday 10/29/18,@ Buffalo,W 25-6,Week 8,"W
                  -13.5","U
              44.5",New England,W,25,6,0,W,1,0,-13.5,U,0,1,44.5,31,19,Monday,10/29/18,2018,Week 8New England2018,70109
Sunday 12/24/17,@ San Francisco,L 33-44,Week 16,"L
                  -4","O
              43",Jacksonville,L,33,44,0,L,0,1,-4,O,1,0,43,77,-11,Sunday,12/24/17,2017,Week 16Jacksonville2017,70133
Sunday 11/06/11,N.Y. Jets,L 11-27,Week 9,"L
                  -2.5","U
              45",Buffalo,L,11,27,0,L,0,1,-2.5,U,0,1,45,38,-16,Sunday,11/6/11,2011,Week 9Buffalo2011,70133
Sunday 11/29/09,Miami,W 31-14,Week 12,"W
                  3.5","O
              38",Buffalo,W,31,14,0,W,1,0,3.5,O,1,0,38,45,17,Sunday,11/29/09,2009,Week 12Buffalo2009,70155
Sunday 09/23/18,Denver,W 27-14,Week 3,"W
                  -5.5","U
              46",Baltimore,W,27,14,0,W,1,0,-5.5,U,0,1,46,41,13,Sunday,9/23/18,2018,Week 3Baltimore2018,70156
