Key2,GameKey,FullDate,Month,Day,Year,Date2,Date3,Season,Start (ET),Hour,Start-Military,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,SO,Attendance,Notes,MonthW,MoneyLineAway,MoneyLineHome,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Latitude.x,Longitude.x,Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction,Daily High Wind Gust,Daily Cloud Cover percent,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predomite Weather,Daily Weather Code,Daily Weather Text,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Militaryminusfour,Minus Four Temperature,Minus Four Feels Like,Minus Four Dew Point,Minus Four Relative Humidity,Minus Four Wet Bulb Temp,Minus Four Wind Direction,Minus Four Wind Speed,Minus Four Cloud Cover percent,Minus Four Cloud Ceiling,Minus Four Cloud Cover Type,Minus Four Visibility,Minus Four Solar Irradiance Beam,Minus Four Solar Irradiance Diffuse,Minus Four Solar Irradiance Global,Minus Four Solar Irradiance Possible Beam,Minus Four Solar Irradiance Possible Global,Minus Four Solar Irradiance ET,Minus Four Probability of Precipitation,Minus Four Water EQ,Minus Four Snowfall,Minus Four Pressure Inches,Minus Four Pressure Millibars,Minus Four Weather Code Digit Numeric,Minus Four Weather Code Alpha Numeric,Minus Four Weather Text
CYWG 19/Mar/2015 16,WSH42082,3/19/15,3,19,2015,19-Mar-15,19-Mar-15,2015, 8:00 PM,8,20,STL,1,WPG,2,1,1,"15,016",0,Mar,-131,119,NA,-1.5,1.5 (2.5),U,5,Thursday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG42082,CYWG,O,19-Mar-15,CST,49.91,-97.24,784,47,30,37,46,20,32,25,29,93,53,74,40,29,34,20,12,234,23,81,14.7,2241,382,2623,84,728,0,0,30.08,29.86,29.95,1019.6,1012,1015.3,42,MC,Mostly Cloudy,41,36,32,70,37,240,7,100,33,OVC,15,0,0,0,0,0,0,0,0,0,29.86,1012.1,40,MC,Overcast,16,46,40,30,53,40,250,16,90,210,BKN,15,205,30,235,297,327,425,0,0,0,29.86,1012.1,42,MC,Mostly Cloudy
CYWG 19/Mar/2017 13,WSH42813,3/19/17,3,19,2017,19-Mar-17,19-Mar-17,2017, 5:00 PM,5,17,MIN,4,WPG,5,0,0,"15,294",0,Mar,-133,120,NA,-1.5,1.5 (2.5),O,6,Sunday,WPG2017,15321,0,5,Winnipeg,CYWG,CYWG42813,CYWG,O,19-Mar-17,CST,49.91,-97.24,784,44,33,37,44,21,35,27,31,86,67,77,40,30,35,25,18,204,35,73,15,2562,382,2944,57,728,0,0,30.03,29.69,29.82,1018.3,1006.8,1011.1,50,PC,High Overcast,41,32,34,77,38,290,17,90,250,BKN,15,107,15,122,148,163,212,0,0,0,29.82,1011.1,52,PC,High Clouds,13,42,35,34,73,39,200,13,90,270,BKN,15,415,57,472,569,626,813,0,0,0,29.71,1007.3,52,PC,High Clouds
CYWG 19/Oct/2014 15,WSH41931,10/19/14,10,19,2014,19-Oct-14,19-Oct-14,2015, 7:00 PM,7,19,CGY,4,WPG,1,0,0,"15,016",0,Oct,130,-144,NA,1.5 (4.5),-1.5,U,5.5,Sunday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG41931,CYWG,O,19-Oct-14,CST,49.91,-97.24,784,64,36,48,64,33,45,36,40,93,46,75,53,37,44,20,12,302,24,18,15,2345,237,2582,615,631,0,0,29.96,29.71,29.81,1015.3,1007,1010.1,47,CLR,Clear,48,45,39,71,44,320,8,0,231,SKC,15,0,0,0,0,0,0,0,0,0,29.88,1012.5,47,CLR,Clear,15,63,61,43,49,53,320,16,5,74,FEW,15,225,23,248,231,254,330,0,0,0,29.81,1010,45,CLR,Mostly Clear
CYWG 19/Oct/2016 16,WSH42662,10/19/16,10,19,2016,19-Oct-16,19-Oct-16,2017, 8:00 PM,8,20,TOR,4,WPG,5,1,0,"15,294",0,Oct,101,-111,NA,1.5 (0.5),-1.5,O,5.5,Wednesday,WPG2017,15321,0,5,Winnipeg,CYWG,CYWG42662,CYWG,O,19-Oct-16,CST,49.91,-97.24,784,42,30,37,41,21,32,26,30,90,63,77,37,29,34,20,12,292,24,78,15,1228,233,1462,73,631,0,0,30.28,29.92,30.14,1026.7,1014.5,1021.7,42,MC,Mostly Cloudy,37,31,31,79,35,310,9,100,65,OVC,15,0,0,0,0,0,0,0,0,0,30.26,1026.1,40,MC,Overcast,16,41,33,29,63,36,300,17,70,33,BKN,15,67,10,77,103,113,147,0,0,0,30.2,1024,42,MC,Mostly Cloudy
CYWG 20/Dec/2013 16,WSH41628,12/20/13,12,20,2013,20-Dec-13,20-Dec-13,2014, 8:00 PM,8,20,FLA,2,WPG,5,0,0,"15,004",0,Dec,146,-159,NA,1.5,-1.5 (1.5),O,5.5,Friday,WPG2014,15321,0,2,Winnipeg,CYWG,CYWG41628,CYWG,O,20-Dec-13,CST,49.91,-97.24,784,3,-9,-2,3,-28,-5,-14,-9,79,68,73,2,-8,-3,17,11,236,22,63,15,559,80,639,66,485,0,0,30.07,29.87,29.93,1021.1,1013.9,1016,42,MC,Mostly Cloudy,-1,-19,-7,77,-2,30,12,100,98,OVC,15,0,0,0,0,0,0,0,0,0,29.89,1014.7,40,MC,Overcast,16,0,-10,-7,73,-1,40,5,100,220,OVC,15,2,0,2,4,4,6,0,0,0,29.87,1014,50,PC,High Overcast
CYWG 20/Feb/2018 16,WSH43151,2/20/18,2,20,2018,20-Feb-18,20-Feb-18,2018, 8:00 PM,8,20,LAK,4,WPG,3,0,0,"15,321",0,Feb,190,-212,NA,1.5 (2.5),-1.5,O,5.5,Tuesday,WPG2018,15321,0,6,Winnipeg,CYWG,CYWG43151,CYWG,O,20-Feb-18,CST,49.91,-97.24,784,9,1,5,9,-11,1,-10,-3,82,59,70,7,-1,3,13,7,250,13,86,10.6,1351,231,1580,93,624,0.11,1.2,30.22,30.06,30.13,1026.2,1020.2,1022.4,9,SNOW,Light Snow,7,-7,-1,71,6,220,10,71,48,OVC,15,0,0,0,0,0,0,0,0,0,30.12,1021.4,52,PC,High Clouds,16,9,-4,-1,64,7,270,9,74,19,SCT,15,101,16,117,161,177,230,0,0,0,30.13,1020.2,52,PC,High Clouds
CYWG 20/Mar/2016 11,WSH42449,3/20/16,3,20,2016,20-Mar-16,20-Mar-16,2016, 3:00 PM,3,15,ANA,3,WPG,2,1,0,"15,294",0,Mar,-162,146,NA,-1.5,1.5 (0.5),U,5,Sunday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42449,CYWG,O,20-Mar-16,CST,49.91,-97.24,784,35,21,28,35,15,26,17,22,93,65,79,31,21,26,9,6,356,9,48,15,2682,398,3080,224,733,0,0,30.36,30.18,30.29,1029.7,1023.5,1027.3,42,MC,Mostly Cloudy,34,27,26,72,31,360,8,95,240,BKN,15,306,44,350,440,484,629,0,0,0,30.28,1026.8,52,PC,High Clouds,11,32,26,25,75,29,340,6,100,240,BKN,15,231,52,283,518,570,740,0,0,0,30.33,1028.8,42,MC,Mostly Cloudy
CYWG 20/Mar/2018 16,WSH43179,3/20/18,3,20,2018,20-Mar-18,20-Mar-18,2018, 8:00 PM,8,20,LAK,1,WPG,2,1,0,"15,321",0,Mar,150,-166,NA,1.5 (0.5),-1.5,U,5.5,Tuesday,WPG2018,15321,0,6,Winnipeg,CYWG,CYWG43179,CYWG,O,20-Mar-18,CST,49.91,-97.24,784,32,19,26,32,13,28,14,23,95,76,85,30,18,25,9,5,192,20,97,8.2,1966,390,2356,15,733,0.21,1.9,30.12,30.03,30.06,1021.5,1018.7,1019.5,9,SNOW,Light Snow,29,22,28,94,29,170,7,75,45,BKN,3,0,0,0,0,0,0,99,0.01,0.1,30.03,1018.7,9,SNOW,Light Snow,16,31,25,27,82,30,210,7,100,35,OVC,5,151,30,181,302,332,431,99,0.01,0.1,30.04,1018.8,9,SNOW,Light Snow
CYWG 20/Nov/2014 16,WSH41963,11/20/14,11,20,2014,20-Nov-14,20-Nov-14,2015, 8:00 PM,8,20,DET,4,WPG,3,0,0,"15,016",0,Nov,104,-115,NA,1.5 (2.5),-1.5,O,5,Thursday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG41963,CYWG,O,20-Nov-14,CST,49.91,-97.24,784,13,-10,3,10,-24,3,-15,-5,78,61,69,9,-10,2,18,10,227,22,8,15,1166,116,1282,524,529,0,0,30.13,29.93,30.06,1022.8,1015.7,1020.3,47,CLR,Clear,7,-11,-2,66,5,180,15,0,254,SKC,15,0,0,0,0,0,0,0,0,0,30.03,1019.5,47,CLR,Clear,16,9,-5,0,66,7,170,9,5,250,FEW,15,13,1,14,13,14,19,0,0,0,30.1,1021.5,45,CLR,Mostly Clear
CYWG 20/Oct/2013 16,WSH41567,10/20/13,10,20,2013,20-Oct-13,20-Oct-13,2014, 8:00 PM,8,20,NSH,3,WPG,1,0,0,"15,004",0,Oct,148,-161,NA,1.5 (3.5),-1.5,U,5.5,Sunday,WPG2014,15321,0,2,Winnipeg,CYWG,CYWG41567,CYWG,O,20-Oct-13,CST,49.91,-97.24,784,37,27,33,36,15,33,18,25,98,55,76,34,24,31,22,14,330,30,75,14.6,1592,233,1826,241,627,0,0,29.93,29.71,29.83,1014.6,1006.9,1011.3,42,MC,Mostly Cloudy,29,19,20,70,26,320,12,70,47,BKN,15,0,0,0,0,0,0,0,0,0,29.92,1014.5,42,MC,Mostly Cloudy,16,34,23,21,59,30,320,21,100,51,OVC,15,52,10,62,103,113,147,0,0,0,29.88,1013,40,MC,Overcast
CYWG 20/Oct/2018 12,WSH43393,10/20/18,10,20,2018,20-Oct-18,20-Oct-18,2019, 4:00 PM,4,16,ARI,3,WPG,5,0,0,"15,321",0,Oct,169,-188,NA,1.5,-1.5 (0.5),O,5.5,Saturday,WPG2019,15321,0,7,Winnipeg,CYWG,CYWG43393,CYWG,O,20-Oct-18,CST,49.883,-97.217,784,38,24,31,36,14,21,15,18,71,47,59,30,23,27,24,13,315,31,65,15,1608,234,1842,240,627,0,0,30.35,30.06,30.23,1029.3,1019.2,1025.2,42,MC,Mostly Cloudy,36,30,18,47,30,260,9,75,230,BKN,15,79,10,89,103,113,148,0,0,0,30.29,1027.2,52,PC,High Clouds,12,35,26,19,52,29,350,12,100,250,BKN,15,177,40,217,402,442,574,0,0,0,30.35,1029.3,42,MC,Mostly Cloudy
CYWG 21/Dec/2014 17,WSH41994,12/21/14,12,21,2014,21-Dec-14,21-Dec-14,2015, 9:00 PM,9,21,PHI,4,WPG,3,1,0,"15,016",0,Dec,149,-165,NA,1.5 (2.5),-1.5,O,5,Sunday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG41994,CYWG,O,21-Dec-14,CST,49.91,-97.24,784,31,29,30,30,16,30,27,28,100,92,95,30,28,29,18,15,169,26,100,2.4,400,80,481,0,485,0.01,0,29.79,29.59,29.65,1010.2,1003.3,1005.4,40,MC,Overcast,30,20,28,93,29,150,13,100,4,OVC,2.5,0,0,0,0,0,0,0,0,0,29.61,1003.8,40,MC,Overcast,17,30,18,28,93,29,170,18,100,5,OVC,5,0,0,0,0,0,0,0,0,0,29.61,1003.9,40,MC,Overcast
CYWG 21/Jan/2015 17,WSH42025,1/21/15,1,21,2015,21-Jan-15,21-Jan-15,2015, 9:00 PM,9,21,CBJ,0,WPG,4,0,0,"15,016",0,Jan,144,-159,NA,1.5,-1.5 (2.5),U,5.5,Wednesday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG42025,CYWG,O,21-Jan-15,CST,49.91,-97.24,784,14,-2,8,14,-15,10,-6,2,85,72,79,13,-1,6,14,8,269,14,81,14.8,594,119,712,27,529,0,0,30.33,30.18,30.28,1029.2,1024,1027.5,42,MC,Mostly Cloudy,10,-4,7,85,10,180,12,100,80,OVC,15,0,0,0,0,0,0,0,0,0,30.28,1027.6,40,MC,Overcast,17,10,-1,5,79,9,220,7,75,95,BKN,15,0,0,0,0,0,0,0,0,0,30.32,1028.9,42,MC,Mostly Cloudy
CYWG 21/Jan/2016 16,WSH42390,1/21/16,1,21,2016,21-Jan-16,21-Jan-16,2016, 8:00 PM,8,20,NSH,4,WPG,1,0,0,"15,294",0,Jan,-123,111,NA,-1.5 (1.5),1.5,U,5,Thursday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42390,CYWG,O,21-Jan-16,CST,49.91,-97.24,784,12,-8,6,11,-16,8,-9,1,85,74,80,11,-5,6,12,6,341,12,65,13.1,612,119,730,92,529,0,0,30.49,30.31,30.42,1035,1028.5,1032.6,9,SNOW,Light Snow,0,0,-4,85,-1,360,1,0,241,SKC,15,0,0,0,0,0,0,0,0,0,30.48,1034.9,47,CLR,Clear,16,9,9,3,76,8,20,3,75,45,BKN,15,29,5,34,46,51,65,0,0,0,30.44,1033.3,9,SNOW,Light Snow
CYWG 21/Jan/2017 11,WSH42756,1/21/17,1,21,2017,21-Jan-17,21-Jan-17,2017, 3:00 PM,3,15,STL,3,WPG,5,0,0,"15,294",0,Jan,118,-130,NA,1.5,-1.5 (0.5),O,5.5,Saturday,WPG2017,15321,0,5,Winnipeg,CYWG,CYWG42756,CYWG,O,21-Jan-17,CST,49.91,-97.24,784,36,34,35,35,26,34,33,34,98,95,97,35,34,34,10,8,129,10,100,7.1,590,119,708,0,529,0.01,0,29.6,29.43,29.48,1003.4,997.8,999.7,40,MC,Overcast,35,28,34,95,35,120,10,100,5,OVC,5,68,14,82,135,149,193,0,0,0,29.47,999.1,21,RAIN,Light Drizzle,11,35,28,34,95,34,130,9,100,3,OVC,6,93,19,112,186,205,265,0,0,0,29.46,998.8,40,MC,Overcast
CYWG 21/Jan/2018 16,WSH43121,1/21/18,1,21,2018,21-Jan-18,21-Jan-18,2018, 8:00 PM,8,20,VAN,0,WPG,1,0,0,"15,321",0,Jan,186,-208,NA,1.5 (0.5),-1.5,U,5.5,Sunday,WPG2018,15321,0,6,Winnipeg,CYWG,CYWG43121,CYWG,O,21-Jan-18,CST,49.91,-97.24,784,20,16,18,20,6,17,11,13,91,79,83,19,15,17,9,5,25,9,100,14.8,590,119,708,0,529,0.05,0,30.14,29.96,30.09,1022.7,1016.4,1020.9,40,MC,Overcast,18,18,13,81,17,50,2,100,24,OVC,15,0,0,0,0,0,0,0,0,0,30.14,1022.7,40,MC,Overcast,16,18,11,13,79,17,20,5,100,26,OVC,15,23,5,28,46,51,65,0,0,0,30.12,1021.9,40,MC,Overcast
CYWG 21/Mar/2015 15,WSH42084,3/21/15,3,21,2015,21-Mar-15,21-Mar-15,2015, 7:00 PM,7,19,WSH,0,WPG,3,0,0,"15,016",0,Mar,-105,-105,NA,1.5,-1.5 (1.5),U,5.5,Saturday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG42084,CYWG,O,21-Mar-15,CST,49.91,-97.24,784,27,5,16,25,-5,10,-2,3,78,39,56,20,4,13,8,4,345,8,42,15,3461,398,3859,371,737,0,0,30.43,30.35,30.38,1032.4,1029.5,1030.8,42,MC,Mostly Cloudy,23,17,5,46,18,340,5,100,220,BKN,15,0,0,0,0,0,0,0,0,0,30.35,1029.6,42,MC,Mostly Cloudy,15,25,19,3,39,19,370,5,75,240,BKN,15,340,44,384,440,484,629,0,0,0,30.36,1029.9,52,PC,High Clouds
CYWG 21/Mar/2017 16,WSH42815,3/21/17,3,21,2017,21-Mar-17,21-Mar-17,2017, 8:00 PM,8,20,PHI,2,WPG,3,0,0,"15,294",0,Mar,-113,102,NA,1.5 (0.5),-1.5,U,6,Tuesday,WPG2017,15321,0,5,Winnipeg,CYWG,CYWG42815,CYWG,O,21-Mar-17,CST,49.91,-97.24,784,18,9,14,17,-7,6,-5,1,70,44,56,14,8,11,20,10,3,26,1,15,3964,398,4362,735,737,0,0,30.66,30.47,30.6,1040.5,1033.7,1038.3,47,CLR,Clear,16,16,0,49,13,90,3,0,400,SKC,15,0,0,0,0,0,0,0,0,0,30.61,1038.8,47,CLR,Clear,16,17,9,1,48,14,360,6,0,400,SKC,15,308,31,339,308,339,440,0,0,0,30.64,1039.7,47,CLR,Clear
CYWG 21/Nov/2013 16,WSH41599,11/21/13,11,21,2013,21-Nov-13,21-Nov-13,2014, 8:00 PM,8,20,CHI,6,WPG,3,0,0,"15,004",0,Nov,-143,132,NA,-1.5 (1.5),1.5,O,5.5,Thursday,WPG2014,15321,0,2,Winnipeg,CYWG,CYWG41599,CYWG,O,21-Nov-13,CST,49.91,-97.24,784,13,-1,6,13,-16,8,-4,0,85,67,77,12,0,5,20,13,280,26,50,14.6,1031,115,1146,395,526,0.07,1.1,30.58,30.31,30.48,1037.6,1028.4,1034.4,45,CLR,Mostly Clear,1,-16,-4,77,0,170,13,90,240,BKN,15,0,0,0,0,0,0,0,0,0,30.5,1035.5,52,PC,High Clouds,16,4,-9,-2,74,3,250,8,5,260,FEW,15,12,1,13,12,13,17,0,0,0,30.56,1037.3,45,CLR,Mostly Clear
CYWG 21/Nov/2015 15,WSH42329,11/21/15,11,21,2015,21-Nov-15,21-Nov-15,2016, 7:00 PM,7,19,ARI,2,WPG,3,0,0,"15,294",0,Nov,152,-169,NA,1.5 (0.5),-1.5,U,5.5,Saturday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42329,CYWG,O,21-Nov-15,CST,49.91,-97.24,784,18,2,12,18,-7,12,0,7,85,68,81,16,4,11,16,8,193,16,44,15,903,115,1018,314,526,0,0,30.34,29.94,30.17,1029.3,1015.7,1023.5,42,MC,Mostly Cloudy,12,1,9,85,11,160,8,5,130,FEW,15,0,0,0,0,0,0,0,0,0,30.06,1020.1,45,CLR,Mostly Clear,15,18,8,10,73,16,170,7,5,59,FEW,15,91,9,100,93,102,134,0,0,0,30.12,1021.8,45,CLR,Mostly Clear
CYWG 21/Oct/2014 16,WSH41933,10/21/14,10,21,2014,21-Oct-14,21-Oct-14,2015, 8:00 PM,8,20,CAR,1,WPG,3,0,0,"15,016",0,Oct,126,-139,NA,1.5,-1.5 (0.5),U,5.5,Tuesday,WPG2015,15321,0,3,Winnipeg,CYWG,CYWG41933,CYWG,O,21-Oct-14,CST,49.91,-97.24,784,63,39,50,63,31,41,36,39,87,45,67,52,38,44,31,20,153,41,1,15,2269,228,2497,617,624,0,0,30.04,29.78,29.92,1018,1009,1013.9,47,CLR,Clear,54,48,39,58,47,150,23,5,240,FEW,15,0,0,0,0,0,0,0,0,0,29.82,1010.4,45,CLR,Mostly Clear,16,61,57,41,48,51,150,26,5,160,FEW,15,96,10,106,98,108,140,0,0,0,29.83,1010.6,45,CLR,Mostly Clear
CYWG 22/Mar/2014 15,WSH41720,3/22/14,3,22,2014,22-Mar-14,22-Mar-14,2014, 7:00 PM,7,19,CAR,3,WPG,2,0,0,"15,004",0,Mar,142,-154,NA,1.5 (2.5),-1.5,U,5.5,Saturday,WPG2014,15321,0,2,Winnipeg,CYWG,CYWG41720,CYWG,O,22-Mar-14,CST,49.91,-97.24,784,9,-13,-3,9,-33,-4,-18,-10,77,56,70,6,-13,-4,20,12,298,20,0,15,4029,403,4432,740,740,0,0,30.53,30.45,30.5,1036.8,1033.7,1035.5,47,CLR,Clear,0,-16,-8,71,-1,290,9,0,223,SKC,15,0,0,0,0,0,0,0,0,0,30.5,1035.6,47,CLR,Clear,15,9,-9,-4,56,6,310,17,0,216,SKC,15,445,45,490,445,490,636,0,0,0,30.52,1036.1,47,CLR,Clear
CYWG 22/Mar/2016 16,WSH42451,3/22/16,3,22,2016,22-Mar-16,22-Mar-16,2016, 8:00 PM,8,20,VAN,0,WPG,2,0,0,"15,294",0,Mar,127,-140,NA,1.5,-1.5 (0.5),U,5.5,Tuesday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42451,CYWG,O,22-Mar-16,CST,49.91,-97.24,784,31,18,25,29,6,15,5,10,66,43,53,24,16,21,18,14,37,23,66,15,2510,410,2920,102,740,0,0,30.16,29.9,30,1023.1,1014,1017.4,42,MC,Mostly Cloudy,25,13,9,51,20,20,13,20,230,SCT,15,0,0,0,0,0,0,0,0,0,30.09,1020.6,54,CLR,Few High Clouds,16,28,17,11,48,23,30,15,100,230,OVC,15,111,32,143,318,350,455,0,0,0,30.01,1017.8,50,PC,High Overcast
CYWG 22/Oct/2013 16,WSH41569,10/22/13,10,22,2013,22-Oct-13,22-Oct-13,2014, 8:00 PM,8,20,WSH,5,WPG,4,1,1,"15,004",0,Oct,-105,-103,NA,1.5 (2.5),-1.5,O,5.5,Tuesday,WPG2014,15321,0,2,Winnipeg,CYWG,CYWG41569,CYWG,O,22-Oct-13,CST,49.91,-97.24,784,38,22,31,37,18,31,18,26,97,59,82,32,25,29,15,9,315,15,86,13.4,1263,220,1484,51,620,0,0,30.08,30.01,30.05,1019.9,1017.4,1018.8,40,MC,Overcast,31,24,25,78,29,300,7,100,36,OVC,15,0,0,0,0,0,0,0,0,0,30.05,1018.9,40,MC,Overcast,16,32,22,27,84,30,300,14,100,55,OVC,15,46,9,56,93,102,133,0,0,0,30.05,1019,40,MC,Overcast
CYWG 22/Oct/2018 16,WSH43395,10/22/18,10,22,2018,22-Oct-18,22-Oct-18,2019, 8:00 PM,8,20,STL,4,WPG,5,1,0,"15,321",0,Oct,138,-153,NA,1.5 (0.5),-1.5,O,6,Monday,WPG2019,15321,0,7,Winnipeg,CYWG,CYWG43395,CYWG,O,22-Oct-18,CST,49.883,-97.217,784,44,18,35,43,17,28,15,24,83,50,64,37,22,32,22,14,316,30,25,15,1694,220,1914,361,620,0,0,30.36,29.88,30.14,1029.7,1012.6,1022,42,MC,Mostly Cloudy,31,24,21,65,28,360,9,20,35,SCT,15,0,0,0,0,0,0,0,0,0,30.31,1027.7,43,PC,Partly Cloudy,16,42,33,24,50,35,320,22,70,40,BKN,15,61,9,70,94,103,134,0,0,0,30.23,1025.1,42,MC,Mostly Cloudy
CYWG 23/Feb/2016 16,WSH42423,2/23/16,2,23,2016,23-Feb-16,23-Feb-16,2016, 8:00 PM,8,20,DAL,5,WPG,3,0,0,"15,294",0,Feb,-131,119,NA,-1.5 (0.5),1.5,O,5.5,Tuesday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42423,CYWG,O,23-Feb-16,CST,49.91,-97.24,784,27,11,22,27,7,26,11,18,95,74,85,26,15,21,14,8,342,14,46,10.9,2253,245,2499,436,636,0.01,0.1,30.14,29.92,30.05,1022.4,1014.6,1019.2,9,SNOW,Light Snow,20,12,16,83,19,250,6,0,236,SKC,15,0,0,0,0,0,0,0,0,0,30.13,1022.3,47,CLR,Clear,16,25,15,18,74,23,310,10,70,21,BKN,15,114,18,132,176,194,252,0,0,0,30.1,1021,42,MC,Mostly Cloudy
CYWG 23/Jan/2016 15,WSH42392,1/23/16,1,23,2016,23-Jan-16,23-Jan-16,2016, 7:00 PM,7,19,NJD,3,WPG,1,0,0,"15,294",0,Jan,120,-133,NA,1.5 (3.5),-1.5,U,5,Saturday,WPG2016,15321,0,4,Winnipeg,CYWG,CYWG42392,CYWG,O,23-Jan-16,CST,49.91,-97.24,784,23,14,19,23,-5,21,10,16,91,83,87,22,13,18,32,20,179,38,88,8.2,867,122,987,155,534,0.04,0.4,29.83,29.56,29.69,1012.2,1002.8,1007.4,9,SNOW,Light Snow,22,9,19,89,21,360,15,100,9,OVC,10,0,0,0,0,0,0,0,0,0,29.7,1007.4,9,SNOW,Light Snow,15,22,11,19,87,21,170,12,100,22,OVC,4,71,14,85,142,156,204,0,0,0,29.57,1003.1,9,SNOW,Light Snow
CYWG 23/Jan/2017 16,WSH42758,1/23/17,1,23,2017,23-Jan-17,23-Jan-17,2017, 8:00 PM,8,20,ANA,3,WPG,2,0,0,"15,294",0,Jan,-100,-110,NA,1.5 (2.5),-1.5,U,5.5,Monday,WPG2017,15321,0,5,Winnipeg,CYWG,CYWG42758,CYWG,O,23-Jan-17,CST,49.91,-97.24,784,32,26,29,31,17,29,23,26,91,82,86,31,25,28,12,9,220,12,98,14.5,632,122,752,29,534,0.12,1.2,29.75,29.71,29.73,1009,1007.6,1008.2,40,MC,Overcast,28,18,24,86,26,220,10,100,21,OVC,15,0,0,0,0,0,0,99,0.01,0.1,29.75,1008.8,9,SNOW,Light Snow,16,29,18,24,84,27,220,12,100,17,OVC,15,26,5,30,51,56,73,99,0.01,0.1,29.73,1008,9,SNOW,Light Snow
CYWG 23/Mar/2018 16,WSH43182,3/23/18,3,23,2018,23-Mar-18,23-Mar-18,2018, 8:00 PM,8,20,ANA,2,WPG,3,1,0,"15,321",0,Mar,140,-155,NA,1.5 (0.5),-1.5,U,5.5,Friday,WPG2018,15321,0,6,Winnipeg,CYWG,CYWG43182,CYWG,O,23-Mar-18,CST,49.91,-97.24,784,41,18,32,41,10,24,17,20,95,40,65,34,18,28,21,13,114,31,64,15,3014,410,3424,149,744,0,0,30.41,30.23,30.31,1031.5,1025,1027.9,52,PC,High Clouds,36,28,19,49,30,110,14,100,120,OVC,15,0,0,0,0,0,0,0,0,0,30.24,1025.4,40,MC,Overcast,16,39,29,17,40,32,120,21,100,240,OVC,15,145,32,177,318,350,455,0,0,0,30.25,1026,50,PC,High Overcast
CYWG 23/Mar/2019 15,WSH43547,3/23/19,3,23,2019,23-Mar-19,23-Mar-19,2019, 7:00 PM,7,19,NSH,0,WPG,5,0,0,"15,321",0,Mar,-105,-105,NA,1.5,-1.5 (3.5),U,6,Saturday,WPG2019,15321,0,7,Winnipeg,CYWG,CYWG43547,CYWG,O,23-Mar-19,CST,49.883,-97.217,784,44,24,33,44,12,35,20,27,92,69,79,40,23,31,29,14,195,37,26,14.6,3815,411,4226,496,744,0,0,30.24,29.99,30.05,1025.3,1016.7,1018.8,45,CLR,Mostly Clear,36,36,33,88,35,270,3,70,270,BKN,12,0,0,0,0,0,0,0,0,0,30.05,1019.1,52,PC,High Clouds,15,44,39,35,71,40,210,9,70,270,BKN,15,357,45,402,452,497,645,0,0,0,29.99,1016.7,52,PC,High Clouds
