Key2,GameKey,FullDate,Month,Day,Year,Date2,Date3,Season,Start (ET),Hour,Start-Military,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,SO,Attendance,Notes,MonthW,MoneyLineAway,MoneyLineHome,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Latitude.x,Longitude.x,Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction,Daily High Wind Gust,Daily Cloud Cover percent,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predomite Weather,Daily Weather Code,Daily Weather Text,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Militaryminusfour,Minus Four Temperature,Minus Four Feels Like,Minus Four Dew Point,Minus Four Relative Humidity,Minus Four Wet Bulb Temp,Minus Four Wind Direction,Minus Four Wind Speed,Minus Four Cloud Cover percent,Minus Four Cloud Ceiling,Minus Four Cloud Cover Type,Minus Four Visibility,Minus Four Solar Irradiance Beam,Minus Four Solar Irradiance Diffuse,Minus Four Solar Irradiance Global,Minus Four Solar Irradiance Possible Beam,Minus Four Solar Irradiance Possible Global,Minus Four Solar Irradiance ET,Minus Four Probability of Precipitation,Minus Four Water EQ,Minus Four Snowfall,Minus Four Pressure Inches,Minus Four Pressure Millibars,Minus Four Weather Code Digit Numeric,Minus Four Weather Code Alpha Numeric,Minus Four Weather Text
CYED 02/Dec/2015 17,EDM42340,12/2/15,12,2,2015,2-Dec-15,2-Dec-15,2016, 9:30 PM,9,21,BOS,2,EDM,3,1,1,"16,839",0,Dec,-140,127,NA,-1.5,1.5 (2.5),U,5.5,Wednesday,EDM2016,17100,0,41,Edmonton,CYED,CYED42340,CYED,O,2-Dec-15,MST,53.667,-113.467,2244,45,27,33,45,16,25,14,19,69,46,57,37,22,28,12,8,221,12,15,12.5,566,58,624,385,467,0,0,29.79,29.6,29.7,1011.6,1005.7,1008.9,45,CLR,Mostly Clear,32,25,18,55,27,230,8,5,87,FEW,15,0,0,0,0,0,0,0,0,0,29.78,1011.6,45,CLR,Mostly Clear,17,34,28,19,56,29,210,7,5,92,FEW,15,0,0,0,0,0,0,0,0,0,29.76,1010.7,45,CLR,Mostly Clear
CYED 02/Feb/2016 17,EDM42402,2/2/16,2,2,2016,2-Feb-16,2-Feb-16,2016, 9:00 PM,9,21,CBJ,1,EDM,5,0,0,"16,839",0,Feb,121,-134,NA,1.5,-1.5 (2.5),O,5.5,Tuesday,EDM2016,17100,0,41,Edmonton,CYED,CYED42402,CYED,O,2-Feb-16,MST,53.667,-113.467,2244,29,17,23,29,10,20,9,17,93,59,78,25,18,21,10,7,266,10,47,9.8,1053,112,1165,458,539,0,0,30.01,29.94,29.98,1020.2,1017.9,1019,45,CLR,Mostly Clear,25,15,16,69,22,270,10,100,62,OVC,9,0,0,0,0,0,0,0,0,0,29.97,1018.9,40,MC,Overcast,17,27,21,14,59,23,280,5,22,200,CLR,9,0,0,0,0,0,0,0,0,0,29.99,1019.4,46,CLR,Fair
CYED 02/Jan/2016 12,EDM42371,1/2/16,1,2,2016,2-Jan-16,2-Jan-16,2016, 4:00 PM,4,16,ARI,3,EDM,4,1,1,"16,839",0,Jan,121,-134,NA,1.5 (0.5),-1.5,O,5.5,Saturday,EDM2016,17100,0,41,Edmonton,CYED,CYED42371,CYED,O,2-Jan-16,MST,53.667,-113.467,2244,28,3,18,28,-5,9,-2,6,78,43,58,23,4,15,9,5,234,9,4,9,517,53,570,438,454,0,0,30.22,30.1,30.18,1027.7,1024.1,1026.1,46,CLR,Fair,25,25,7,46,20,230,3,5,217,CLR,9,1,0,1,1,1,2,0,0,0,30.15,1025.3,46,CLR,Fair,12,25,18,7,46,20,230,6,0,207,CLR,9,126,13,139,126,139,179,0,0,0,30.2,1026.4,46,CLR,Fair
CYED 02/Nov/2013 18,EDM41580,11/2/13,11,2,2013,2-Nov-13,2-Nov-13,2014, 10:00 PM,10,22,DET,5,EDM,0,0,0,"16,839",0,Nov,-106,-102,NA,1.5 (6.5),-1.5,U,5.5,Saturday,EDM2014,17100,0,39,Edmonton,CYED,CYED41580,CYED,O,2-Nov-13,MST,53.667,-113.467,2244,39,30,33,38,21,33,26,29,100,65,84,34,28,32,18,8,28,22,95,5.7,863,132,996,48,560,0.04,0,29.91,29.71,29.79,1014.9,1008.8,1011.2,40,MC,Overcast,32,21,32,100,32,40,16,100,4,OVC,1,0,0,0,0,0,0,99,0.01,0,29.71,1008.9,8,SHWR,Snow Showers,18,32,25,32,100,32,40,8,100,2,VV,1,0,0,0,0,0,0,0,0,0,29.72,1009.2,8,SHWR,Snow Showers
CYED 03/Dec/2013 17,EDM41611,12/3/13,12,3,2013,3-Dec-13,3-Dec-13,2014, 9:30 PM,9,21,ARI,6,EDM,2,0,0,"16,839",0,Dec,-119,110,NA,-1.5 (2.5),1.5,O,5.5,Tuesday,EDM2014,17100,0,39,Edmonton,CYED,CYED41611,CYED,O,3-Dec-13,MST,53.667,-113.467,2244,7,-2,3,8,-17,0,-8,-3,76,69,74,6,-3,2,14,9,303,18,97,6.1,303,58,362,21,464,0.01,0.2,30.41,30.35,30.38,1035.8,1033.6,1034.6,40,MC,Overcast,4,-14,-4,70,3,340,14,100,22,OVC,9,0,0,0,0,0,0,0,0,0,30.36,1034.2,40,MC,Overcast,17,5,-8,-1,76,4,290,8,100,71,BKN,3,0,0,0,0,0,0,0,0,0,30.35,1033.7,40,MC,Overcast
CYED 03/Dec/2016 18,EDM42707,12/3/16,12,3,2016,3-Dec-16,3-Dec-16,2017, 10:00 PM,10,22,ANA,2,EDM,3,1,0,"18,347",0,Dec,-100,-110,NA,1.5 (0.5),-1.5,U,5.5,Saturday,EDM2017,18347,1,0,Edmonton,CYED,CYED42707,CYED,O,3-Dec-16,MST,53.667,-113.467,2244,38,22,29,37,13,25,12,20,93,56,73,32,21,26,13,8,250,13,73,8.6,484,57,541,259,464,0.02,0.2,29.7,29.64,29.67,1009,1007.2,1008.1,46,CLR,Fair,27,18,16,64,23,240,8,95,178,CLR,9,0,0,0,0,0,0,99,0.01,0.1,29.67,1008.1,9,SNOW,Light Snow,18,30,23,19,64,27,260,8,90,174,CLR,9,0,0,0,0,0,0,0,0,0,29.68,1008.2,46,CLR,Fair
CYED 03/Mar/2015 17,EDM42066,3/3/15,3,3,2015,3-Mar-15,3-Mar-15,2015, 9:30 PM,9,21,LAK,5,EDM,2,0,0,"16,839",0,Mar,-210,188,NA,-1.5 (1.5),1.5,O,5,Tuesday,EDM2015,17100,0,40,Edmonton,CYED,CYED42066,CYED,O,3-Mar-15,MST,53.667,-113.467,2244,11,-6,3,10,-21,-8,-18,-13,54,40,47,7,-5,1,17,10,304,20,2,13,2394,242,2636,647,661,0,0,30.29,30.13,30.19,1031.3,1026.1,1028.1,47,CLR,Clear,0,0,-15,50,-2,70,3,0,246,SKC,15,0,0,0,0,0,0,0,0,0,30.18,1028.2,47,CLR,Clear,17,10,-3,-8,44,7,320,10,0,222,SKC,15,70,7,77,70,77,99,0,0,0,30.14,1026.3,47,CLR,Clear
CYED 03/Mar/2018 18,EDM43162,3/3/18,3,3,2018,3-Mar-18,3-Mar-18,2018, 10:30 PM,10,22,NYR,3,EDM,2,0,0,"18,347",0,Mar,170,-189,NA,1.5 (2.5),-1.5,U,6.5,Saturday,EDM2018,18347,0,1,Edmonton,CYED,CYED43162,CYED,O,3-Mar-18,MST,53.667,-113.467,2244,22,13,17,22,0,17,10,13,90,77,84,20,13,15,13,6,49,13,100,1.7,1206,242,1450,0,661,0.23,4.5,30.06,30,30.02,1023.9,1020.5,1021.8,9,SNOW,Light Snow,16,16,10,79,14,0,0,100,22,OVC,3,0,0,0,0,0,0,0,0,0,30.05,1022,40,MC,Overcast,18,21,12,16,80,19,20,7,100,14,VV,2,0,0,0,0,0,0,99,0.01,0.2,30.02,1020.8,9,SNOW,Light Snow
CYED 03/Nov/2015 17,EDM42311,11/3/15,11,3,2015,3-Nov-15,3-Nov-15,2016, 9:00 PM,9,21,PHI,2,EDM,4,0,0,"16,839",0,Nov,122,-135,NA,1.5,-1.5 (0.5),O,5.5,Tuesday,EDM2016,17100,0,41,Edmonton,CYED,CYED42311,CYED,O,3-Nov-15,MST,53.667,-113.467,2244,35,28,32,34,24,34,28,31,100,87,96,34,29,32,6,3,239,6,89,8.2,656,128,787,15,556,0,0,30,29.84,29.93,1019.1,1013.4,1016.5,40,MC,Overcast,30,25,28,93,29,240,5,75,79,BKN,10,0,0,0,0,0,0,0,0,0,30,1019.1,42,MC,Mostly Cloudy,17,34,34,32,93,33,230,3,100,20,BKN,9,0,0,0,0,0,0,0,0,0,29.98,1018.1,40,MC,Overcast
CYED 04/Apr/2015 18,EDM42098,4/4/15,4,4,2015,4-Apr-15,4-Apr-15,2015, 10:00 PM,10,22,CGY,4,EDM,0,0,0,"16,839",0,Apr,-179,161,NA,-1.5 (2.5),1.5,U,5.5,Saturday,EDM2015,17100,0,40,Edmonton,CYED,CYED42098,CYED,O,4-Apr-15,MST,53.667,-113.467,2244,39,25,31,37,18,26,18,23,95,51,74,32,24,28,12,6,65,12,88,9,2738,445,3182,63,798,0,0,30.09,30.04,30.07,1022.3,1020.5,1021.4,40,MC,Overcast,27,27,19,74,24,70,3,100,71,OVC,9,0,0,0,0,0,0,0,0,0,30.06,1021.2,40,MC,Overcast,18,37,33,22,54,32,60,5,100,66,OVC,9,37,7,44,74,81,106,0,0,0,30.05,1020.6,40,MC,Overcast
