Key2,ï»¿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code,Data Type,Time Zone,Hourly_Latitude,Hourly_Longitude,Hourly_Elevation,Hourly_Temperature,Hourly_Feels Like,Hourly_Dew Point,Hourly_Relative Humidity,Hourly_Wet Bulb Temp,Hourly_Wind Direction,Hourly_Wind Speed,Hourly_Cloud Cover percent,Hourly_Cloud Ceiling,Hourly_Cloud Cover Type,Hourly_Visibility,Hourly_Solar Irradiance Beam,Hourly_Solar Irradiance Diffuse,Hourly_Solar Irradiance Global,Hourly_Solar Irradiance Possible Beam,Hourly_Solar Irradiance Possible Global,Hourly_Solar Irradiance ET,Hourly_Probability of Precipitation,Hourly_Water EQ,Hourly_Snowfall,Hourly_Pressure Inches,Hourly_Pressure Millibars,Hourly_Weather Code Digit Numeric,Hourly_Weather Code Alpha Numeric,Hourly_Weather Text,Daily_HIGHEST TEMPERATURE °F,Daily_LOWEST TEMPERATURE °F,Daily_AVERAGE DAILY TEMPERATURE (All Hours) °F,Daily_WARMEST HEAT INDEX °F,Daily_COLDEST WIND CHILL TEMPERATURE °F,Daily_HIGHEST DEW POINT TEMPERATURE °F,Daily_LOWEST DEW POINT TEMPERATURE °F,Daily_AVERAGE DAILY DEW POINT TEMPERATURE (All Hours) °F,Daily_HIGHEST RELATIVE HUMIDITY (Percent; %),Daily_LOWEST RELATIVE HUMIDITY (Percent; %),"Daily_AVERAGE DAILY RELATIVE HUMIDITY (All Hours, Percent; %)",Daily_HIGHEST WET BULB TEMPERATURE °F,Daily_LOWEST WET BULB TEMPERATURE °F,Daily_AVERAGE DAILY WET BULB TEMPERATURE (All Hours) °F,Daily_HIGHEST SUSTAINED SPEED (M.P.H.),"Daily_AVERAGE DAILY WIND SPEED (All Hours, M.P.H.)","Daily_PREDOMINATE WIND DIRECTION (Degrees, True)",Daily_HIGHEST WIND GUST (M.P.H.),"Daily_AVERAGE DAILY CLOUD COVER (All Hours, Percent; %)","Daily_AVERAGE VISIBILITY (All Hours, Miles)","Daily_TOTAL SOLAR IRRADIANCE (Beam Horizontal, W/M2)","Daily_TOTAL SOLAR IRRADIANCE (Diffuse, W/M2)","Daily_TOTAL SOLAR IRRADIANCE (Global Horizontal, W/M2)",Daily_TOTAL MINUTES of SUNSHINE (WBI Calculated),Daily_TOTAL MINUTES of SUNSHINE POSSIBLE (on Cloud-free Day),Daily_OBSERVED TOTAL DAILY WATER EQUIVALENT AWXCLIMO (Inches),Daily_SNOWFALL (WBI FINAL AWXCLIMO; Inches),"Daily_HIGHEST PRESSURE (All Hours, Inches)","Daily_LOWEST PRESSURE (All Hours, Inches)","Daily_AVERAGE DAILY PRESSURE (All Hours, Inches)","Daily_HIGHEST PRESSURE (All Hours, Millibars, if reported)","Daily_LOWEST PRESSURE (All Hours, Millibars, if reported)","Daily_AVERAGE DAILY PRESSURE (All Hours, Millibars, if reported)",Daily_WBI 2-DIGIT PREDOMINATE WEATHER (All Hours),Daily_WBI 2-4 LETTER CODE (All Hours),Daily_PREDOMINATE WEATHER TEXT (All Hours)
CYQG 11/Dec/2016 18,DET42715,12/11/2016,12,11,2016,11-Dec-16,2017,6:00p,18,PHI,97,DET,79,0,0,"7,244",,Dec,N,12,-12,U,198,Sun,DET2017,22076,0,28,Detroit,CYQG,CYQG42715,CYQG,O,EST,42.276,-82.956,623,30,19,28,93,29,190,16,100,7,OVC,0.8,0,0,0,0,0,0,0,0,0,29.92,1014.2,9,SNOW,Light Snow,32,23,28,32,15,32,18,26,100,74,93,31,22,27,17,11,182,22,100,2.1,818,164,984,0,549,0.19,3.5,30.38,29.73,30.1,1029.9,1007.6,1020.3,9,SNOW,Light Snow
CYQG 11/Feb/2015 20,DET42046,2/11/2015,2,11,2015,11-Feb-15,2015,7:30p,20,SAS,104,DET,87,0,0,"14,617",,Feb,N,-6.5,6.5,U,194.5,Wed,DET2015,22076,0,26,Detroit,CYQG,CYQG42046,CYQG,O,EST,42.276,-82.956,623,30,18,25,80,28,300,20,100,25,OVC,7,0,0,0,0,0,0,99,0.01,0.2,29.9,1013.5,9,SNOW,Light Snow,32,16,25,32,7,30,12,21,93,80,87,31,13,23,20,11,239,22,94,5.4,1372,280,1654,0,625,0.05,0.6,30.14,29.86,29.96,1021.7,1012.1,1015.7,9,SNOW,Light Snow
CYQG 11/Feb/2019 19,DET43507,2/11/2019,2,11,2019,11-Feb-19,2019,7:00p,19,WAS,112,DET,121,0,0,"15,246",,Feb,Y,6,-6,O,224.5,Mon,DET2019,20332,0,1,Detroit,CYQG,CYQG43507,CYQG,O,EST,42.267,-82.967,623,30,20,25,80,28,80,14,100,24,OVC,9,0,0,0,0,0,0,0,0,0,30.22,1024.4,40,MC,Overcast,30,23,27,30,11,25,19,23,93,75,85,28,22,25,18,13,60,24,100,8.4,1398,280,1680,0,625,0,0,30.25,30.12,30.21,1025.5,1021.1,1024.1,40,MC,Overcast
CYQG 11/Jan/2014 20,DET41650,1/11/2014,1,11,2014,11-Jan-14,2014,7:30p,20,PHX,108,DET,110,0,0,"15,224",,Jan,Y,1.5,-1.5,O,206,Sat,DET2014,22076,0,25,Detroit,CYQG,CYQG41650,CYQG,O,EST,42.276,-82.956,623,36,25,32,87,34,280,18,100,14,OVC,12,0,0,0,0,0,0,0,0.02,0,29.52,1000.3,18,RAIN,Light Rain,46,36,39,43,25,43,28,38,100,81,94,43,33,39,25,14,242,31,100,6.6,901,182,1085,0,560,0.26,0,29.64,29.3,29.47,1004,992.7,998.5,18,RAIN,Light Rain
CYQG 11/Mar/2014 20,DET41709,3/11/2014,3,11,2014,11-Mar-14,2014,7:30p,20,SAC,89,DET,99,0,0,"15,234",,Mar,Y,2.5,-2.5,U,214.5,Tue,DET2014,22076,0,25,Detroit,CYQG,CYQG41709,CYQG,O,EST,42.276,-82.956,623,43,40,41,93,42,330,5,100,33,OVC,6,0,0,0,0,0,0,99,0.02,0,29.74,1007.7,18,RAIN,Light Rain,53,33,42,52,25,45,32,38,100,54,86,46,35,41,24,7,323,29,95,7.6,2119,424,2544,4,704,0.13,0,29.74,29.63,29.67,1007.7,1003.9,1005.2,40,MC,Overcast
CYQG 11/Mar/2017 17,DET42805,3/11/2017,3,11,2017,11-Mar-17,2017,5:00p,17,NYK,92,DET,112,0,0,"19,607",,Mar,Y,6,-6,U,212.5,Sat,DET2017,22076,0,28,Detroit,CYQG,CYQG42805,CYQG,O,EST,42.276,-82.956,623,28,19,3,34,22,300,10,10,250,FEW,15,159,17,176,166,183,237,0,0,0,30.34,1028.7,45,CLR,Mostly Clear,31,13,22,28,0,9,-2,2,57,33,44,22,11,17,18,12,305,23,37,15,4092,424,4516,603,704,0,0,30.4,30.33,30.37,1030.8,1028.4,1029.6,46,CLR,Fair
CYQG 11/Nov/2018 16,DET43415,11/11/2018,11,11,2018,11-Nov-18,2019,3:30p,16,CHA,113,DET,103,1,1,"15,133",,Nov,N,2.5,-2.5,U,221,Sun,DET2019,20332,0,1,Detroit,CYQG,CYQG43415,CYQG,O,EST,42.267,-82.967,623,39,33,19,45,32,220,9,5,220,FEW,9,89,9,98,90,99,129,0,0,0,30.25,1025.4,45,CLR,Mostly Clear,39,28,33,39,19,25,19,23,81,45,69,32,26,29,15,9,224,23,88,9.1,1404,230,1634,168,595,0,0,30.39,30.25,30.31,1029.4,1025.4,1027.3,40,MC,Overcast
CYQG 12/Apr/2015 16,DET42106,4/12/2015,4,12,2015,12-Apr-15,2015,3:30p,16,CHA,77,DET,116,0,0,"17,297",,Apr,Y,8,-8,P,193,Sun,DET2015,22076,0,26,Detroit,CYQG,CYQG42106,CYQG,O,EST,42.276,-82.956,623,61,59,39,45,50,190,12,70,260,BKN,15,377,48,425,477,525,682,0,0,0,30.15,1021.4,52,PC,High Clouds,66,36,51,63,33,43,32,38,93,39,63,51,35,45,15,8,188,22,52,14.9,4945,607,5552,328,796,0,0,30.26,30.1,30.19,1025,1019.5,1022.6,52,PC,High Clouds
CYQG 12/Apr/2016 20,DET42472,4/12/2016,4,12,2016,12-Apr-16,2016,7:30p,20,MIA,99,DET,93,0,0,"18,575",,Apr,N,-2,2,U,199.5,Tue,DET2016,22076,0,27,Detroit,CYQG,CYQG42472,CYQG,O,EST,42.276,-82.956,623,39,35,34,81,37,170,6,0,182,SKC,15,0,0,0,0,0,0,0,0,0,30.35,1028.7,46,CLR,Fair,50,32,39,46,23,34,21,26,87,37,60,37,29,34,16,9,313,23,19,15,4749,612,5361,544,796,0,0,30.39,30.05,30.26,1029.8,1018.2,1025.5,46,CLR,Fair
CYQG 12/Dec/2015 20,DET42350,12/12/2015,12,12,2015,12-Dec-15,2016,7:30p,20,IND,96,DET,118,1,1,"14,858",,Dec,Y,1.5,-1.5,O,204,Sat,DET2016,22076,0,27,Detroit,CYQG,CYQG42350,CYQG,O,EST,42.276,-82.956,623,52,52,52,100,52,150,3,100,270,OVC,7,0,0,0,0,0,0,0,0,0,30.06,1018.2,50,PC,High Overcast,62,44,52,61,38,55,41,49,100,82,92,58,40,50,8,4,115,8,98,7.9,853,164,1017,36,548,0,0,30.08,29.93,30,1018.7,1014,1016.2,40,MC,Overcast
