Key,ID,FullDate,Start(ET),Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts, Home Covered,Capacity,New Stadium Season,Years in Stadium,Key,Weather Temperature,Dome,
20120916BALPHI,PHI2012,9/16/12,1:00,PHI,-3,BAL,47,P,47,2012,Week 2,69144,PHI,-3,3,BAL,24,23,N,69796,0,9,20120916BALPHI,74,0,
20151115MINOAK,OAK2015,11/15/15,4:05,OAK,-3,MIN,44,P,44,2015,Week 10,54700,OAK,-3,3,MIN,14,30,Y,56057,0,49,20151115MINOAK,57,0,
20160919PHICHI,CHI2016,9/19/16,8:35,CHI,-3,PHI,43,P,43,2016,Week 2,62268,CHI,-3,3,PHI,14,29,Y,61500,0,45,20160919PHICHI,80,0,
201711HOUTEN,TEN2016,1/1/17,1:00,TEN,-3,HOU,41,P,41,2016,Week 17,65205,TEN,-3,3,HOU,24,17,Y,69143,0,17,201711HOUTEN,48,0,Week 17TEN2016
20131013CARMIN,MIN2013,10/13/13,1:00,MIN,-2.5,CAR,45,P,45,2013,Week 6,63963,MIN,-2.5,2.5,CAR,10,35,Y,64121,0,31,20131013CARMIN,72,DOME,
20131124DALNYG,NYG2013,11/24/13,4:25,NYG,-2.5,DAL,45,P,45,2013,Week 12,80499,NYG,-2.5,2.5,DAL,21,24,Y,82550,0,3,20131124DALNYG,26,0,
20141102ARIDAL,DAL2014,11/2/14,1:00,DAL,-1.5,ARI,45,P,45,2014,Week 9,85688,DAL,-1.5,1.5,ARI,17,28,Y,105000,0,5,20141102ARIDAL,64,DOME,
20151129OAKTEN,TEN2015,11/29/15,1:00,OAK,-1,TEN,45,P,45,2015,Week 12,58075,TEN,1,-1,OAK,21,24,Y,69143,0,16,20151129OAKTEN,57,0,
20131103BALCLE,CLE2013,11/3/13,4:25,BAL,-1.5,CLE,42,P,42,2013,Week 9,71513,CLE,1.5,-1.5,BAL,24,18,Y,73200,0,14,20131103BALCLE,46,0,
20071209LACTEN,TEN2007,12/9/07,1:00,LAC,-1.5,TEN,40,P,40,2007,Week 14,69143,TEN,1.5,-1.5,LAC,17,23,Y,69143,0,8,20071209LACTEN,65,0,
20081214SEALAR,LAR2008,12/14/08,1:00,SEA,-2,LAR,43,P,43,2008,Week 15,56123,LAR,2,-2,SEA,20,23,Y,67277,0,13,20081214SEALAR,72,DOME,
20131124TENOAK,OAK2013,11/24/13,4:05,TEN,-2.5,OAK,42,P,42,2013,Week 12,46001,OAK,2.5,-2.5,TEN,19,23,Y,53286,0,47,20131124TENOAK,59,0,
20161224ATLCAR,CAR2016,12/24/16,1:00,ATL,-3,CAR,49,P,49,2016,Week 16,73549,CAR,3,-3,ATL,16,33,Y,75419,0,20,20161224ATLCAR,52,0,
20100912SFSEA,SEA2010,9/12/10,4:15,SF,-3,SEA,37,P,37,2010,Week 1,67044,SEA,3,-3,SF,31,6,Y,68740,0,8,20100912SFSEA,64,0,
20061105DALWAS,WAS2006,11/5/06,1:00,DAL,-3,WAS,41,P,41,2006,Week 9,90250,WAS,3,-3,DAL,22,19,N,91665,0,9,20061105DALWAS,42,0,
20111002BUFCIN,CIN2011,10/2/11,1:00,BUF,-3,CIN,43,P,43,2011,Week 4,41142,CIN,3,-3,BUF,23,20,N,65515,0,11,20111002BUFCIN,59,0,
20071230MINDEN,DEN2007,12/30/07,4:15,MIN,-3,DEN,41,P,41,2007,Week 17,76084,DEN,3,-3,MIN,22,19,N,76125,0,6,20071230MINDEN,24,0,
20061217JAXTEN,TEN2006,12/17/06,1:00,JAX,-3.5,TEN,41,P,41,2006,Week 15,69143,TEN,3.5,-3.5,JAX,24,17,Y,69143,0,7,20061217JAXTEN,58,0,
20061126NYGTEN,TEN2006,11/26/06,4:15,NYG,-3.5,TEN,45,P,45,2006,Week 12,69143,TEN,3.5,-3.5,NYG,24,21,N,69143,0,7,20061126NYGTEN,56,0,
20110911PHILAR,LAR2011,9/11/11,1:00,PHI,-4,LAR,44,P,44,2011,Week 1,56722,LAR,4,-4,PHI,13,31,Y,67277,0,16,20110911PHILAR,72,DOME,
20070930BALCLE,CLE2007,9/30/07,1:00,BAL,-4,CLE,40,P,40,2007,Week 4,73024,CLE,4,-4,BAL,27,13,Y,73200,0,8,20070930BALCLE,62,0,
20060924CHIMIN,MIN2006,9/24/06,1:00,CHI,-4,MIN,35,P,35,2006,Week 3,63754,MIN,4,-4,CHI,16,19,N,64121,0,24,20060924CHIMIN,72,DOME,
20171204PITCIN,CIN2017,12/4/17,8:30,PIT,-4.5,CIN,43,P,43,2017,Week 13,56029,CIN,4.5,-4.5,PIT,20,23,N,65515,0,17,20171204PITCIN,54,0,Week 13CIN2017
20091025LACKC,KCC2009,10/25/09,1:00,LAC,-5.5,KC,44,P,44,2009,Week 7,69337,KC,5.5,-5.5,LAC,7,37,Y,79451,0,37,20091025LACKC,59,0,
20110918BALTEN,TEN2011,9/18/11,1:00,BAL,-5.5,TEN,39,P,39,2011,Week 2,69143,TEN,5.5,-5.5,BAL,26,13,Y,69143,0,12,20110918BALTEN,79,0,
20131103NONYJ,NYJ2013,11/3/13,1:00,NO,-6,NYJ,46,P,46,2013,Week 9,76957,NYJ,6,-6,NO,26,20,N,82550,0,3,20131103NONYJ,53,0,
20071216GBLAR,LAR2007,12/16/07,1:00,GB,-7,LAR,47,P,47,2007,Week 15,66008,LAR,7,-7,GB,14,33,Y,67277,0,12,20071216GBLAR,72,DOME,
20141220PHIWAS,WAS2014,12/20/14,4:30,PHI,-7,WAS,51,P,51,2014,Week 16,78897,WAS,7,-7,PHI,27,24,N,79000,0,17,20141220PHIWAS,35,0,
20081102JAXCIN,CIN2008,11/2/08,1:00,JAX,-7,CIN,40,P,40,2008,Week 9,64238,CIN,7,-7,JAX,21,19,N,65515,0,8,20081102JAXCIN,59,0,
20081026WASDET,DET2008,10/26/08,1:00,WAS,-7.5,DET,42,P,42,2008,Week 8,54312,DET,7.5,-7.5,WAS,17,25,Y,65000,0,6,20081026WASDET,72,DOME,
20091004NYGKC,KCC2009,10/4/09,1:00,NYG,-9,KC,43,P,43,2009,Week 4,69238,KC,9,-9,NYG,16,27,Y,79451,0,37,20091004NYGKC,56,0,
