FullDate,Month,Day,Year,Season,Start (ET),Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OTGames,Attendance,Notes,Season,Month,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,Date,Key,Capacity,New Stadium Season,Years in Stadium
4/26/2019,4,26,2019,2019,10:00p,GSW,129,LAC,110,,"19,068",,2019,April,N,-10,10,O,231.5,Fri,LAC2019,19060,0,19
4/24/2019,4,24,2019,2019,10:30p,LAC,129,GSW,121,,"19,596",,2019,April,N,14.5,-14.5,O,232.5,Wed,GSW2019,18064,0,0
4/23/2019,4,23,2019,2019,7:00p,ORL,96,TOR,115,,"19,800",,2019,April,Y,11,-11,O,206,Tue,TOR2019,19800,0,23
4/23/2019,4,23,2019,2019,9:30p,SAS,90,DEN,108,,"19,520",,2019,April,Y,5.5,-5.5,U,210.5,Tue,DEN2019,19520,0,19
4/23/2019,4,23,2019,2019,10:30p,OKC,115,POR,118,,"20,241",,2019,April,N,4.5,-4.5,O,223,Tue,POR2019,19393,0,23
4/23/2019,4,23,2019,2019,8:00p,BKN,100,PHI,122,,"20,595",,2019,April,Y,8.5,-8.5,U,230,Tue,PHI2019,20478,0,22
4/22/2019,4,22,2019,2019,10:30p,HOU,91,UTA,107,,"18,306",,2019,April,Y,-2.5,2.5,U,215.5,Mon,UTA2019,18306,0,27
4/22/2019,4,22,2019,2019,8:00p,MIL,127,DET,104,,"20,332",,2019,April,N,-13,13,O,221,Mon,DET2019,20332,0,1
4/21/2019,4,21,2019,2019,1:00p,BOS,110,IND,106,,"17,923",,2019,April,N,-3.5,3.5,O,204,Sun,IND2019,17923,0,19
4/21/2019,4,21,2019,2019,7:00p,TOR,107,ORL,85,,"19,087",,2019,April,N,-5.5,5.5,U,206,Sun,ORL2019,18846,0,8
4/21/2019,4,21,2019,2019,9:30p,POR,111,OKC,98,,"18,203",,2019,April,N,5.5,-5.5,U,222,Sun,OKC2019,18203,0,10
4/21/2019,4,21,2019,2019,3:30p,GSW,113,LAC,105,,"19,068",,2019,April,Y,-9.5,9.5,U,235,Sun,LAC2019,19060,0,19
4/20/2019,4,20,2019,2019,10:30p,HOU,104,UTA,101,,"18,306",,2019,April,N,2,-2,U,216,Sat,UTA2019,18306,0,27
4/20/2019,4,20,2019,2019,8:00p,MIL,119,DET,103,,"20,520",,2019,April,N,-9.5,9.5,O,217.5,Sat,DET2019,20332,0,1
4/20/2019,4,20,2019,2019,3:00p,PHI,112,BKN,108,,"17,732",,2019,April,N,-3.5,3.5,U,231,Sat,BKN2019,17732,0,6
4/19/2019,4,19,2019,2019,8:30p,BOS,104,IND,96,,"17,923",,2019,April,N,2.5,-2.5,U,205,Fri,IND2019,17923,0,19
4/19/2019,4,19,2019,2019,7:00p,TOR,98,ORL,93,,"19,367",,2019,April,Y,-5.5,5.5,U,211.5,Fri,ORL2019,18846,0,8
4/19/2019,4,19,2019,2019,9:30p,POR,108,OKC,120,,"18,203",,2019,April,Y,7.5,-7.5,O,221,Fri,OKC2019,18203,0,10
4/18/2019,4,18,2019,2019,8:00p,PHI,131,BKN,115,,"17,732",,2019,April,N,-1.5,1.5,O,229,Thu,BKN2019,17732,0,6
4/18/2019,4,18,2019,2019,10:30p,GSW,132,LAC,105,,"19,068",,2019,April,N,-9,9,O,233.5,Thu,LAC2019,19060,0,19
4/17/2019,4,17,2019,2019,7:00p,IND,91,BOS,99,,"18,624",,2019,April,P,8,-8,U,207.5,Wed,BOS2019,18624,0,23
4/17/2019,4,17,2019,2019,8:00p,DET,99,MIL,120,,"17,513",,2019,April,Y,15.5,-15.5,O,215.5,Wed,MIL2019,17341,0,0
4/16/2019,4,16,2019,2019,9:00p,SAS,105,DEN,114,,"19,520",,2019,April,Y,7,-7,O,210,Tue,DEN2019,19520,0,19
4/16/2019,4,16,2019,2019,8:00p,ORL,82,TOR,111,,"19,964",,2019,April,Y,11,-11,U,212.5,Tue,TOR2019,19800,0,23
4/16/2019,4,16,2019,2019,10:30p,OKC,94,POR,114,,"20,041",,2019,April,Y,1,-1,U,224.5,Tue,POR2019,19393,0,23
4/15/2019,4,15,2019,2019,8:00p,BKN,123,PHI,145,,"20,591",,2019,April,Y,8.5,-8.5,O,224.5,Mon,PHI2019,20478,0,22
4/15/2019,4,15,2019,2019,10:30p,LAC,135,GSW,131,,"19,596",,2019,April,N,13.5,-13.5,O,234,Mon,GSW2019,18064,0,0
4/14/2019,4,14,2019,2019,1:00p,IND,74,BOS,84,,"18,624",,2019,April,Y,7.5,-7.5,U,210.5,Sun,BOS2019,18624,0,23
4/14/2019,4,14,2019,2019,7:00p,DET,86,MIL,121,,"17,529",,2019,April,Y,15,-15,U,216,Sun,MIL2019,17341,0,0
4/14/2019,4,14,2019,2019,3:30p,OKC,99,POR,104,,"19,886",,2019,April,Y,3,-3,U,224.5,Sun,POR2019,19393,0,23
4/13/2019,4,13,2019,2019,10:30p,SAS,101,DEN,96,,"19,520",,2019,April,N,5.5,-5.5,U,210.5,Sat,DEN2019,19520,0,19
4/13/2019,4,13,2019,2019,5:00p,ORL,104,TOR,101,,"19,937",,2019,April,N,9.5,-9.5,U,212,Sat,TOR2019,19800,0,23
4/13/2019,4,13,2019,2019,2:30p,BKN,111,PHI,102,,"20,437",,2019,April,N,6.5,-6.5,U,227.5,Sat,PHI2019,20478,0,22
4/13/2019,4,13,2019,2019,8:00p,LAC,104,GSW,121,,"19,596",,2019,April,Y,13.5,-13.5,U,233.5,Sat,GSW2019,18064,0,0
4/10/2019,4,10,2019,2019,8:00p,DET,115,NYK,89,,"19,812",,2019,April,N,-8.5,8.5,U,205.5,Wed,NYK2019,19812,0,50
4/10/2019,4,10,2019,2019,8:00p,ORL,122,CHA,114,,"17,719",,2019,April,N,4,-4,O,218,Wed,CHA2019,19077,0,13
